"","Plot","UTM.x","UTM.y","plot.scorch","Tubbs.MTBS.RDNBR.30.qm","Kincade.MTBS.RDNBR.30.qm","Tubbs.Tukman.CanDam.10.qm","Tubbs.Clark.RBR.30.qm"
"PPW1301","PPW1301",526273.898160114,4270355.26855954,5,413.625,62.75,82.9063272476196,248.916407585144
"PPW1302","PPW1302",525458.732677738,4269583.34036297,9.94296313692626,176.8125,92.4375,12.9553813934326,59.6689574718475
"PPW1303","PPW1303",526154.900027297,4269071.82779433,69.3997530727662,295,-44.25,32.4643020629883,131.612060546875
"PPW1304","PPW1304",525955.691061749,4269224.71064264,33.4727804731813,151.25,-24.5,56.8906486034393,129.575775146484
"PPW1305","PPW1305",526069.156989524,4269636.51359937,41.7437671785273,252.5,7.8125,31.5808563232422,125.364540100097
"PPW1306","PPW1306",526033.988592869,4270893.04334645,33.1707771761702,510.625,2.625,88.9518146514892,190.665510177613
"PPW1307","PPW1307",525899.186646549,4270670.17332532,63.2381478864583,274,90.625,20.8765932321548,138.189071655273
"PPW1308","PPW1308",522759.035561761,4273147.02531638,0,57.875,178.75,NA,11.5410983711481
"PPW1309","PPW1309",522844.00493096,4273346.25636228,0,46.5625,52.0625,16.9199256896973,26.8991543054581
"PPW1310","PPW1310",522794.914902268,4273550.34407193,14.4961059536484,210.6875,42.5625,28.8488591909408,145.046199321747
"PPW1311","PPW1311",522471.595166781,4273311.62277474,0,6,92,NA,24.7924404144287
"PPW1312","PPW1312",522517.941780331,4272846.67410978,0,40.625,237.375,NA,-18.5670108795166
"PPW1313","PPW1313",522854.985164115,4272676.80264977,13.5034786751088,105.5625,23.8125,10.6084890365601,23.6987282037735
"PPW1314","PPW1314",523249.432505466,4272556.34739941,11.9029631660043,-9.125,30.875,5.72486066818237,57.1998772621155
"PPW1315","PPW1315",524744.060998733,4271569.92216367,9.80313445717107,121.5625,34.6875,2.41194216907024,60.8359365463257
"PPW1316","PPW1316",524780.530807826,4271730.90298861,63.9164410905533,228.625,104.875,38.4996147155762,143.483474731445
"PPW1317","PPW1317",524791.426903259,4271598.15481784,9.71655365557234,126.0625,31.875,10.4287261962891,94.5517745018007
"PPW1318","PPW1318",524619.604252657,4271852.75015938,13.3612143723494,206.5,96.5625,30.0496006011963,178.262153625488
"PPW1319","PPW1319",524520.977575619,4271785.61561592,27.427425069899,101.875,64.5625,18.2014331817627,79.1913042068481
"PPW1320","PPW1320",524383.728118113,4269335.79863362,17.6810455215083,199.1875,65.375,19.1821327209473,55.6865215301514
