"","Plot","x","y","Tubbs.barc.SBS"
"1","PPW1501",526272.000000001,4270359,69
"2","PPW1507",525898.000000001,4270673,92
"3","PPW1509",522842.000000001,4273349,70
"4","PPW1510",522793.000000001,4273554,80
"5","PPW1512",522516,4272850,93
"6","PPW1515",524741.999999999,4271573,70
"7","PPW1521",524748.000000001,4269600,101
"8","PPW1522",525096,4269561,81
"9","PPW1524",523810.999999999,4272009,94
"10","PPW1525",526475,4270816,61
"11","PPW1532",524972.000000001,4271287,90
"12","PPW1535",525105,4271056,99
"13","PPW1538",524957.000000001,4269712,106
"14","PPW1539",524913,4269874,89
"15","PPW1540",527214.000000001,4269298,125
"16","PPW1544",522877.000000001,4272890,84
"17","PPW1549",526510,4270454,115
"18","PPW2152",527374.999999998,4269696,175
