"","Plot","Quad","x","y","Tubbs.barc.dNBR17"
"149","PPW1515","E4",524782.000000001,4271593,83
"150","PPW1515","E5",524782,4271613,80
"151","PPW1521","A1",524708,4269560,87
"152","PPW1521","A2",524707.999999999,4269580,100
"153","PPW1521","A3",524708.000000001,4269600,101
"154","PPW1521","A4",524708,4269620,100
"155","PPW1521","A5",524707.999999999,4269640,91
"156","PPW1521","B1",524727.999999999,4269560,87
"157","PPW1521","B2",524728,4269580,103
"158","PPW1521","B3",524728,4269600,107
"159","PPW1521","B4",524727.999999999,4269620,104
"160","PPW1521","B5",524728,4269640,97
"161","PPW1521","C1",524748.000000001,4269560,90
"162","PPW1521","C2",524748,4269580,91
"163","PPW1521","C3",524748.000000001,4269600,101
"164","PPW1521","C4",524748.000000001,4269620,102
"165","PPW1521","C5",524747.999999999,4269640,80
"166","PPW1521","D1",524768,4269560,96
"167","PPW1521","D2",524768,4269580,93
"168","PPW1521","D3",524767.999999999,4269600,103
"169","PPW1521","D4",524768.000000001,4269620,81
"170","PPW1521","D5",524767.999999999,4269640,59
"171","PPW1521","E1",524788,4269560,98
"172","PPW1521","E2",524787.999999999,4269580,98
"173","PPW1521","E3",524788.000000001,4269600,99
"174","PPW1521","E4",524787.999999998,4269620,63
"175","PPW1521","E5",524788.000000001,4269640,59
"176","PPW1522","A1",525056.000000001,4269521,90
"177","PPW1522","A2",525056,4269541,79
"178","PPW1522","A3",525056,4269561,91
"179","PPW1522","A4",525056,4269581,103
"180","PPW1522","A5",525056,4269601,91
"181","PPW1522","B1",525076,4269521,91
"182","PPW1522","B2",525075.999999999,4269541,92
"183","PPW1522","B3",525076,4269561,96
"184","PPW1522","B4",525076,4269581,99
"185","PPW1522","B5",525076,4269601,82
"186","PPW1522","C1",525096.000000001,4269521,87
"187","PPW1522","C2",525095.999999999,4269541,87
"188","PPW1522","C3",525096,4269561,81
"189","PPW1522","C4",525096.000000001,4269581,75
"190","PPW1522","C5",525096,4269601,63
"191","PPW1522","D1",525115.999999999,4269521,73
"192","PPW1522","D2",525116,4269541,64
"193","PPW1522","D3",525116,4269561,55
"194","PPW1522","D4",525116,4269581,45
"195","PPW1522","D5",525115.999999999,4269601,62
"196","PPW1522","E1",525136,4269521,59
"197","PPW1522","E2",525135.999999998,4269541,22
"198","PPW1522","E3",525136,4269561,23
"199","PPW1522","E4",525136.000000001,4269581,24
"200","PPW1522","E5",525136.000000001,4269601,49
"201","PPW1524","A1",523771,4271969,86
"202","PPW1524","A2",523771.000000001,4271989,79
"203","PPW1524","A3",523771,4272009,77
"204","PPW1524","A4",523771.000000001,4272029,78
"205","PPW1524","A5",523771,4272049,82
"206","PPW1524","B1",523790.999999999,4271969,80
"207","PPW1524","B2",523791,4271989,83
"208","PPW1524","B3",523791,4272009,85
"209","PPW1524","B4",523791.000000001,4272029,82
"210","PPW1524","B5",523790.999999999,4272049,83
"211","PPW1524","C1",523811,4271969,88
"212","PPW1524","C2",523810.999999999,4271989,94
"213","PPW1524","C3",523810.999999999,4272009,94
"214","PPW1524","C4",523810.999999999,4272029,57
"215","PPW1524","C5",523811,4272049,64
"216","PPW1524","D1",523831,4271969,87
"217","PPW1524","D2",523831.000000001,4271989,79
"218","PPW1524","D3",523831.000000001,4272009,78
"219","PPW1524","D4",523831,4272029,67
"220","PPW1524","D5",523831,4272049,76
"221","PPW1524","E1",523851.000000001,4271969,73
"222","PPW1524","E2",523851,4271989,48
"223","PPW1524","E3",523850.999999999,4272009,33
"224","PPW1524","E4",523851,4272029,57
"225","PPW1524","E5",523850.999999998,4272049,79
"226","PPW1525","A1",526435.000000001,4270776,80
"227","PPW1525","A2",526434.999999999,4270796,60
"228","PPW1525","A3",526435,4270816,48
"229","PPW1525","A4",526435,4270836,47
"230","PPW1525","A5",526435.000000001,4270856,53
"231","PPW1525","B1",526455,4270776,71
"232","PPW1525","B2",526455.000000001,4270796,69
"233","PPW1525","B3",526455,4270816,53
"234","PPW1525","B4",526455,4270836,54
"235","PPW1525","B5",526455.000000001,4270856,60
"236","PPW1525","C1",526475,4270776,68
"237","PPW1525","C2",526475,4270796,67
"238","PPW1525","C3",526475,4270816,61
"239","PPW1525","C4",526475,4270836,55
"240","PPW1525","C5",526475,4270856,55
"241","PPW1525","D1",526495.000000001,4270776,69
"242","PPW1525","D2",526494.999999999,4270796,68
"243","PPW1525","D3",526495,4270816,64
"244","PPW1525","D4",526495,4270836,58
"245","PPW1525","D5",526495,4270856,61
"246","PPW1525","E1",526514.999999999,4270776,82
"247","PPW1525","E2",526514.999999999,4270796,76
"248","PPW1525","E3",526515,4270816,67
"249","PPW1525","E4",526515,4270836,59
"250","PPW1525","E5",526515,4270856,50
"251","PPW1532","A1",524932,4271247,63
"252","PPW1532","A2",524932,4271267,50
"253","PPW1532","A3",524931.999999999,4271287,55
"254","PPW1532","A4",524931.999999999,4271307,71
"255","PPW1532","A5",524932.000000001,4271327,93
"256","PPW1532","B1",524952,4271247,62
"257","PPW1532","B2",524952,4271267,59
"258","PPW1532","B3",524951.999999999,4271287,63
"259","PPW1532","B4",524952,4271307,86
"260","PPW1532","B5",524952.000000001,4271327,106
"261","PPW1532","C1",524972,4271247,77
"262","PPW1532","C2",524972.000000001,4271267,83
"263","PPW1532","C3",524972.000000001,4271287,90
"264","PPW1532","C4",524971.999999999,4271307,103
"265","PPW1532","C5",524972,4271327,98
"266","PPW1532","D1",524992,4271247,81
"267","PPW1532","D2",524991.999999999,4271267,92
"268","PPW1532","D3",524992,4271287,98
"269","PPW1532","D4",524991.999999999,4271307,94
"270","PPW1532","D5",524992,4271327,76
"271","PPW1532","E1",525012,4271247,110
"272","PPW1532","E2",525012.000000001,4271267,107
"273","PPW1532","E3",525012,4271287,104
"274","PPW1532","E4",525011.999999999,4271307,91
"275","PPW1532","E5",525011.999999999,4271327,77
"276","PPW1535","A1",525065,4271016,29
"277","PPW1535","A2",525065,4271036,72
"278","PPW1535","A3",525065,4271056,96
"279","PPW1535","A4",525065,4271076,104
"280","PPW1535","A5",525065.000000001,4271096,104
"281","PPW1535","B1",525085,4271016,71
"282","PPW1535","B2",525085,4271036,100
"283","PPW1535","B3",525085.000000001,4271056,105
"284","PPW1535","B4",525085,4271076,109
"285","PPW1535","B5",525084.999999999,4271096,110
