"","X","Plot","UTM.x","UTM.y","AEA.x","AEA.y","GEO.x","GEO.y","Tubbs.MTBS.RDNBR.30","Tubbs.MTBS.DNBR.30","Tubbs.MTBS.DNBR6.30","Kincade.MTBS.RDNBR.30","Kincade.MTBS.DNBR.30","Kincade.MTBS.DNBR6.30","Tubbs.Tukman.CanDam.10","Tubbs.Clark.RBR.30","Tubbs.BARC.dNBR.20","Tubbs.BARC.dNDVI.5","Tubbs.BARC.dNDVI4.5","Tubbs.BARC.SBS4.5"
"11",11,"PPW1311",522471.595166781,4273311.62277474,-238471.701902475,69219.2022612183,-122.741906199125,38.6080239274276,6,-16,0,92,56,1,NA,24.7924404144287,61,63,0,NA
"12",12,"PPW1312",522517.941780331,4272846.67410978,-238440.195906361,68752.2081603543,-122.741388937114,38.6038326931115,34,9,0,281,225,2,NA,-13.1722421646118,97,88,0,NA
"13",13,"PPW1313",522854.985164115,4272676.80264977,-238109.041405466,68571.4404710182,-122.737523719653,38.6022932145728,117,82,2,23,4,1,10.6084890365601,22.9325752258301,106,98,2,2
"14",14,"PPW1314",523249.432505466,4272556.34739941,-237718.996929636,68438.3297376218,-122.732997787433,38.6011974391446,-42,-48,1,30,9,1,5.72486066818237,48.5062980651855,88,83,2,2
"15",15,"PPW1315",524744.060998733,4271569.92216367,-236257.899622502,67403.2865900826,-122.715868340879,38.5922674833687,122,77,2,32,12,1,2.12797617912292,51.8750343322754,70,66,1,2
"16",16,"PPW1316",524780.530807826,4271730.90298861,-236216.367047155,67563.3109335843,-122.71544384267,38.5937172050743,257,176,2,93,57,1,38.4996147155762,146.204727172852,88,76,2,2
"17",17,"PPW1317",524791.426903259,4271598.15481784,-236209.705778711,67430.0522745517,-122.715323448083,38.592520590876,116,72,2,45,22,1,10.4287261962891,102.632263183594,87,67,2,2
"18",18,"PPW1318",524619.604252657,4271852.75015938,-236373.185796329,67690.41271692,-122.717287443293,38.5948197548907,161,97,2,95,59,1,30.0496006011963,184.605285644531,79,71,2,2
"19",19,"PPW1319",524520.977575619,4271785.61561592,-236473.801788604,67626.322347383,-122.718422346686,38.5942174770986,88,42,1,88,54,1,15.0132274627686,70.3196411132812,93,88,2,2
"20",20,"PPW1320",524383.728118113,4269335.79863362,-236688.703484465,65177.8031482045,-122.720084094417,38.572143767381,200,148,2,50,24,0,19.1821327209473,53.6302375793457,109,79,2,2
"21",21,"PPW1321",524749.213177565,4269597.12786096,-236315.451172872,65427.8698463142,-122.715879237128,38.5744887336192,100,63,1,18,0,1,1.68022263050079,39.7054138183594,101,72,2,2
"22",22,"PPW1322",525098.087822444,4269558.2137142,-235968.326338349,65377.8438769798,-122.711875606485,38.5741282532634,51,15,1,33,12,1,12.0183038711548,95.6027450561523,81,62,1,2
"23",23,"PPW1323",523293.956208318,4272423.2917432,-237678.76619154,68303.6973277968,-122.732490922417,38.5999971903098,-60,-56,1,-1,-16,1,3.66737294197083,182.965194702148,74,60,1,2
"24",24,"PPW1324",523812.983763825,4272006.0823107,-237173.754297555,67869.5130533483,-122.726544709402,38.5962235742377,80,44,1,69,43,1,3.85212564468384,79.6368103027344,94,93,2,2
"25",25,"PPW1325",526476.925038028,4270813.14985148,-234551.628317203,66590.615145233,-122.695999180169,38.5853975545472,139,76,2,26,6,0,34.4585838317871,181.387496948242,61,54,1,1
"26",26,"PPW1326",525176.478410783,4271392.01480942,-235831.76948114,67211.4450058327,-122.710909456071,38.5906520449496,56,29,1,31,12,1,11.8297567367554,28.259334564209,113,60,1,2
"27",27,"PPW1327",522923.996717107,4268886.86131137,-238160.552354056,64774.5849834303,-122.736855842493,38.5681368491499,76,41,0,643,506,3,NA,-11.492036819458,101,112,0,NA
"28",28,"PPW1328",524432.063393299,4269667.97867377,-236629.883063498,65508.8659477686,-122.719517590575,38.5751360152752,64,37,1,130,99,2,1.62650144100189,-1.55721545219421,125,74,2,2
"29",29,"PPW1329",524098.150643073,4271807.24334387,-236895.323036694,67661.3848133367,-122.723276923464,38.5944239644714,68,36,1,111,78,2,9.20682621002197,-0.792592406272888,97,75,2,2
"30",30,"PPW1330",523780.817343631,4271478.60258879,-237222.63573792,67342.397599224,-122.726932095176,38.5914708513177,77,47,1,-22,-33,1,39.4788131713867,12.6170120239258,109,87,2,2
"31",31,"PPW1331",523514.663081387,4271819.85828256,-237477.556649888,67692.5166228162,-122.729976712539,38.5945532994453,98,63,1,-2,-17,1,0,38.2568664550781,102,84,2,2
"32",32,"PPW1332",524973.896549538,4271283.47257756,-236037.504313099,67109.1922648321,-122.713239479088,38.5896795981899,110,68,1,30,11,1,0,77.9135131835938,90,57,2,2
"33",33,"PPW1333",525164.824333436,4271316.38821988,-235845.810075815,67136.0939701144,-122.711046004851,38.5899708379669,221,145,2,57,30,1,11.8297567367554,140.679931640625,76,82,2,2
"34",34,"PPW1334",524896.803336482,4271280.09038619,-236114.592094751,67108.2506715842,-122.714124805596,38.5896512838174,151,95,2,7,-9,1,9.73478317260742,82.0725936889648,51,53,1,1
"35",35,"PPW1335",525107.03693664,4271052.89818294,-235911.887062088,66874.108752917,-122.711719033093,38.5875979339869,94,57,1,4,-11,1,3.68578910827637,44.829719543457,95,70,1,2
"36",36,"PPW1336",525474.369476126,4271066.35636093,-235544.66522518,66875.9342199219,-122.70750085066,38.5877087528934,141,89,2,22,3,1,26.2264156341553,82.0414428710938,85,43,1,2
"37",37,"PPW1337",526114.090905826,4271200.25424342,-234901.62572352,66989.7093466925,-122.700150581744,38.5888968359951,312,243,2,82,50,0,28.6982917785645,92.1818542480469,106,48,1,1
