"","Plot","Quad","x","y","Tubbs.barc.SBS"
"222","PPW1314","D2",523255.568078468,4272552.23586871,84
"223","PPW1314","D3",523256.785259717,4272557.04549371,77
"224","PPW1314","D4",523258.002440968,4272561.85511871,75
"225","PPW1315","A1",524735.015268672,4271564.73051023,71
"226","PPW1315","A2",524736.202006172,4271569.41591648,68
"227","PPW1315","A3",524737.388743671,4271574.10132273,72
"228","PPW1315","A4",524738.575481173,4271578.78672898,69
"229","PPW1315","B1",524739.85870617,4271563.50591648,71
"230","PPW1315","B2",524741.045068671,4271568.19113523,66
"231","PPW1315","B3",524742.23143117,4271572.87635398,72
"232","PPW1315","B4",524743.417793671,4271577.56157273,83
"233","PPW1315","C1",524744.70214367,4271562.28132273,81
"234","PPW1315","C2",524745.88813117,4271566.96635398,65
"235","PPW1315","C3",524747.074118671,4271571.65138523,56
"236","PPW1315","C4",524748.260106172,4271576.33641648,65
"237","PPW1315","D1",524749.545581168,4271561.05672898,63
"238","PPW1315","D2",524750.731193669,4271565.74157273,63
"239","PPW1315","D3",524751.916806169,4271570.42641648,69
"240","PPW1315","D4",524753.10241867,4271575.11126023,62
"241","PPW1316","A1",524771.882700489,4271726.47574929,101
"242","PPW1316","A2",524772.932269238,4271730.61940554,81
"243","PPW1316","A3",524773.981837988,4271734.76306179,81
"244","PPW1316","A4",524775.031406738,4271738.90671804,79
"245","PPW1316","B1",524776.598169241,4271725.28340554,104
"246","PPW1316","B2",524777.647375489,4271729.42687429,104
"247","PPW1316","B3",524778.696581739,4271733.57034304,90
"248","PPW1316","B4",524779.745787989,4271737.71381179,79
"249","PPW1316","C1",524781.313637989,4271724.09106179,90
"250","PPW1316","C2",524782.362481739,4271728.23434304,93
"251","PPW1316","C3",524783.41132549,4271732.37762429,76
"252","PPW1316","C4",524784.460169238,4271736.52090554,102
"253","PPW1316","D1",524786.029106739,4271722.89871804,83
"254","PPW1316","D2",524787.07758799,4271727.04181179,92
"255","PPW1316","D3",524788.126069238,4271731.18490554,76
"256","PPW1316","D4",524789.174550489,4271735.32799929,94
"257","PPW1317","A1",524782.856706451,4271592.78873862,67
"258","PPW1317","A2",524784.051906452,4271597.50811362,67
"259","PPW1317","A3",524785.247106452,4271602.22748861,73
"260","PPW1317","A4",524786.442306452,4271606.94686361,76
"261","PPW1317","B1",524787.374556453,4271591.64661362,64
"262","PPW1317","B2",524788.569406454,4271596.36573861,70
"263","PPW1317","B3",524789.764256452,4271601.08486361,73
"264","PPW1317","B4",524790.959106452,4271605.80398861,83
"265","PPW1317","C1",524791.892406456,4271590.50448862,55
"266","PPW1317","C2",524793.086906454,4271595.22336361,67
"267","PPW1317","C3",524794.281406455,4271599.94223861,67
"268","PPW1317","C4",524795.475906455,4271604.66111361,76
"269","PPW1317","D1",524796.410256457,4271589.36236362,71
"270","PPW1317","D2",524797.604406457,4271594.08098861,64
"271","PPW1317","D3",524798.798556456,4271598.79961361,71
"272","PPW1317","D4",524799.992706455,4271603.51823861,76
"273","PPW1318","A1",524610.901081417,4271847.68750996,80
"274","PPW1318","A2",524612.053547043,4271852.23766621,70
"275","PPW1318","A3",524613.206012669,4271856.78782246,84
"276","PPW1318","A4",524614.358478293,4271861.33797871,85
"277","PPW1318","B1",524615.550422041,4271846.51216621,81
"278","PPW1318","B2",524616.702518917,4271851.06213496,71
"279","PPW1318","B3",524617.854615791,4271855.61210371,88
"280","PPW1318","B4",524619.006712667,4271860.16207246,81
"281","PPW1318","C1",524620.199762665,4271845.33682246,82
"282","PPW1318","C2",524621.351490792,4271849.88660371,82
"283","PPW1318","C3",524622.503218915,4271854.43638496,82
"284","PPW1318","C4",524623.654947039,4271858.98616621,85
"285","PPW1318","D1",524624.84910329,4271844.16147871,77
"286","PPW1318","D2",524626.000462664,4271848.71107246,87
"287","PPW1318","D3",524627.151822041,4271853.26066621,91
"288","PPW1318","D4",524628.303181415,4271857.81025996,79
"289","PPW1319","A1",524511.994407851,4271780.65388224,90
"290","PPW1319","A2",524513.142145352,4271785.18528849,83
"291","PPW1319","A3",524514.289882851,4271789.71669474,83
"292","PPW1319","A4",524515.437620353,4271794.24810099,79
"293","PPW1319","B1",524516.83512035,4271779.43003849,80
"294","PPW1319","B2",524517.982482852,4271783.96125724,86
"295","PPW1319","B3",524519.12984535,4271788.49247599,91
"296","PPW1319","B4",524520.277207852,4271793.02369475,87
"297","PPW1319","C1",524521.675832852,4271778.20619474,67
"298","PPW1319","C2",524522.82282035,4271782.73722599,89
"299","PPW1319","C3",524523.969807852,4271787.26825724,88
"300","PPW1319","C4",524525.116795351,4271791.79928849,88
"301","PPW1319","D1",524526.516545349,4271776.98235099,76
"302","PPW1319","D2",524527.66315785,4271781.51319474,69
"303","PPW1319","D3",524528.809770349,4271786.04403849,84
"304","PPW1319","D4",524529.95638285,4271790.57488225,88
"305","PPW1320","A1",524374.932044883,4269330.69963335,91
"306","PPW1320","A2",524376.094013632,4269335.2872896,65
"307","PPW1320","A3",524377.255982384,4269339.87494585,65
"308","PPW1320","A4",524378.417951134,4269344.4626021,91
"309","PPW1320","B1",524379.633813633,4269329.5110396,88
"310","PPW1320","B2",524380.795419882,4269334.09850835,89
"311","PPW1320","B3",524381.957026131,4269338.6859771,79
"312","PPW1320","B4",524383.118632383,4269343.27344585,95
"313","PPW1320","C1",524384.335582382,4269328.32244585,84
"314","PPW1320","C2",524385.49682613,4269332.9097271,82
"315","PPW1320","C3",524386.658069882,4269337.49700835,90
"316","PPW1320","C4",524387.819313632,4269342.0842896,90
"317","PPW1320","D1",524389.03735113,4269327.1338521,83
"318","PPW1320","D2",524390.19823238,4269331.72094585,76
"319","PPW1320","D3",524391.359113632,4269336.3080396,100
"320","PPW1320","D4",524392.519994881,4269340.89513335,83
"321","PPW1321","A1",524740.803279847,4269591.78199131,89
"322","PPW1321","A2",524741.98885172,4269596.46336631,82
"323","PPW1321","A3",524743.174423598,4269601.14474131,77
"324","PPW1321","A4",524744.359995471,4269605.82611631,55
"325","PPW1321","B1",524745.223901724,4269590.66436631,77
"326","PPW1321","B2",524746.409117347,4269595.34549131,72
"327","PPW1321","B3",524747.594332973,4269600.02661631,72
"328","PPW1321","B4",524748.779548598,4269604.70774131,72
"329","PPW1321","C1",524749.644523599,4269589.54674131,69
"330","PPW1321","C2",524750.829382973,4269594.22761631,63
"331","PPW1321","C3",524752.014242347,4269598.90849131,75
"332","PPW1321","C4",524753.199101723,4269603.58936631,82
"333","PPW1321","D1",524754.065145475,4269588.42911631,76
"334","PPW1321","D2",524755.2496486,4269593.10974131,91
"335","PPW1321","D3",524756.434151725,4269597.79036631,85
"336","PPW1321","D4",524757.618654848,4269602.47099131,80
"337","PPW1322","A1",525089.021979529,4269552.80338839,71
"338","PPW1322","A2",525090.244142029,4269557.62879464,63
"339","PPW1322","A3",525091.466304529,4269562.45420089,78
"340","PPW1322","A4",525092.688467031,4269567.27960714,69
"341","PPW1322","B1",525093.843417028,4269551.58454464,67
"342","PPW1322","B2",525095.065204528,4269556.40976339,62
"343","PPW1322","B3",525096.286992028,4269561.23498214,62
"344","PPW1322","B4",525097.508779529,4269566.06020089,60
"345","PPW1322","C1",525098.664854527,4269550.36570089,67
"346","PPW1322","C2",525099.886267026,4269555.19073214,62
"347","PPW1322","C3",525101.107679528,4269560.01576339,47
"348","PPW1322","C4",525102.329092029,4269564.84079464,47
"349","PPW1322","D1",525103.486292026,4269549.14685713,73
"350","PPW1322","D2",525104.707329527,4269553.97170089,85
"351","PPW1322","D3",525105.928367026,4269558.79654464,67
"352","PPW1322","D4",525107.149404527,4269563.62138839,47
"353","PPW1323","A1",523284.989078646,4272417.8228902,47
"354","PPW1323","A2",523286.216541147,4272422.66929645,65
"355","PPW1323","A3",523287.444003647,4272427.5157027,63
"356","PPW1323","A4",523288.671466149,4272432.36210895,59
"357","PPW1323","B1",523289.739416144,4272416.62204645,53
"358","PPW1323","B2",523290.966503646,4272421.4682652,60
"359","PPW1323","B3",523292.193591145,4272426.31448395,73
"360","PPW1323","B4",523293.420678644,4272431.1607027,68
"361","PPW1323","C1",523294.489753643,4272415.4212027,56
"362","PPW1323","C2",523295.716466144,4272420.26723395,78
"363","PPW1323","C3",523296.943178645,4272425.1132652,79
"364","PPW1323","C4",523298.169891143,4272429.95929645,79
"365","PPW1323","D1",523299.240091142,4272414.22035895,75
"366","PPW1323","D2",523300.466428642,4272419.0662027,82
"367","PPW1323","D3",523301.692766142,4272423.91204645,88
"368","PPW1323","D4",523302.919103643,4272428.7578902,83
"369","PPW1324","A1",523803.995919613,4272000.77061317,66
"370","PPW1324","A2",523805.199285238,4272005.52198817,90
"371","PPW1324","A3",523806.402650862,4272010.27336317,89
"372","PPW1324","A4",523807.606016488,4272015.02473817,84
"373","PPW1324","B1",523808.784010238,4271999.56023817,93
"374","PPW1324","B2",523809.987007113,4272004.31136317,78
"375","PPW1324","B3",523811.190003987,4272009.06248817,93
"376","PPW1324","B4",523812.393000864,4272013.81361317,85
"377","PPW1324","C1",523813.572100863,4271998.34986317,87
"378","PPW1324","C2",523814.77472899,4272003.10073817,89
"379","PPW1324","C3",523815.977357115,4272007.85161317,100
"380","PPW1324","C4",523817.17998524,4272012.60248817,97
"381","PPW1324","D1",523818.36019149,4271997.13948817,94
"382","PPW1324","D2",523819.562450865,4272001.89011317,89
"383","PPW1324","D3",523820.76471024,4272006.64073817,98
"384","PPW1324","D4",523821.966969614,4272011.39136317,101
"385","PPW1325","A1",526467.981243,4270807.78749072,33
"386","PPW1325","A2",526469.1908805,4270812.56361572,53
"387","PPW1325","A3",526470.400518001,4270817.33974072,43
"388","PPW1325","A4",526471.6101555,4270822.11586572,47
"389","PPW1325","B1",526472.733705501,4270806.58611572,50
"390","PPW1325","B2",526473.942968002,4270811.36199072,47
"391","PPW1325","B3",526475.152230502,4270816.13786572,36
"392","PPW1325","B4",526476.361493002,4270820.91374072,48
"393","PPW1325","C1",526477.486168003,4270805.38474072,56
"394","PPW1325","C2",526478.695055502,4270810.16036572,54
"395","PPW1325","C3",526479.903943003,4270814.93599072,54
"396","PPW1325","C4",526481.112830502,4270819.71161572,54
"397","PPW1325","D1",526482.238630504,4270804.18336572,57
"398","PPW1325","D2",526483.447143002,4270808.95874072,51
"399","PPW1325","D3",526484.655655502,4270813.73411572,64
"400","PPW1325","D4",526485.864168004,4270818.50949072,33
"401","PPW1326","A1",525167.869581921,4271386.75373809,66
"402","PPW1326","A2",525169.049703797,4271391.41336309,77
"403","PPW1326","A3",525170.229825671,4271396.07298809,62
"404","PPW1326","A4",525171.409947547,4271400.73261309,65
"405","PPW1326","B1",525172.428253798,4271385.60136309,65
"406","PPW1326","B2",525173.608019423,4271390.26073809,68
"407","PPW1326","B3",525174.787785047,4271394.92011309,68
"408","PPW1326","B4",525175.967550674,4271399.57948809,76
"409","PPW1326","C1",525176.986925674,4271384.44898809,70
"410","PPW1326","C2",525178.166335051,4271389.10811309,50
"411","PPW1326","C3",525179.345744424,4271393.76723809,60
"412","PPW1326","C4",525180.525153799,4271398.42636309,61
"413","PPW1326","D1",525181.545597551,4271383.29661309,62
"414","PPW1326","D2",525182.724650675,4271387.95548809,63
"415","PPW1326","D3",525183.903703801,4271392.61436309,65
"416","PPW1326","D4",525185.082756923,4271397.27323809,55
"417","PPW1327","A1",522914.999157318,4268881.71536321,111
"418","PPW1327","A2",522916.176666691,4268886.36448821,107
"419","PPW1327","A3",522917.354176067,4268891.01361321,102
"420","PPW1327","A4",522918.53168544,4268895.66273821,103
"421","PPW1327","B1",522919.819566694,4268880.49673821,105
"422","PPW1327","B2",522920.996694819,4268885.14561321,112
"423","PPW1327","B3",522922.173822943,4268889.79448821,112
"424","PPW1327","B4",522923.350951068,4268894.44336321,104
"425","PPW1327","C1",522924.63997607,4268879.27811321,110
"426","PPW1327","C2",522925.816722946,4268883.92673821,112
"427","PPW1327","C3",522926.99346982,4268888.57536321,112
"428","PPW1327","C4",522928.170216695,4268893.22398821,112
"429","PPW1327","D1",522929.460385447,4268878.05948821,114
"430","PPW1327","D2",522930.636751072,4268882.70786321,109
"431","PPW1327","D3",522931.813116696,4268887.35623821,109
"432","PPW1327","D4",522932.98948232,4268892.00461321,103
"433","PPW1328","A1",524423.015868332,4269662.74463586,80
"434","PPW1328","A2",524424.209355833,4269667.45679211,76
"435","PPW1328","A3",524425.402843333,4269672.16894836,74
"436","PPW1328","A4",524426.596330833,4269676.88110461,80
"437","PPW1328","B1",524427.85375583,4269661.52154211,82
"438","PPW1328","B2",524429.046868332,4269666.23351086,76
"439","PPW1328","B3",524430.239980833,4269670.94547961,80
"440","PPW1328","B4",524431.433093332,4269675.65744836,76
"441","PPW1328","C1",524432.69164333,4269660.29844836,79
"442","PPW1328","C2",524433.88438083,4269665.01022961,74
"443","PPW1328","C3",524435.077118332,4269669.72201086,76
"444","PPW1328","C4",524436.269855831,4269674.43379211,75
"445","PPW1328","D1",524437.529530828,4269659.07535461,84
"446","PPW1328","D2",524438.721893329,4269663.78694836,78
"447","PPW1328","D3",524439.91425583,4269668.49854211,76
"448","PPW1328","D4",524441.106618331,4269673.21013586,73
"449","PPW1329","A1",524089.037643316,4271801.81086524,87
"450","PPW1329","A2",524090.265205817,4271806.65774024,73
"451","PPW1329","A3",524091.492768315,4271811.50461524,80
"452","PPW1329","A4",524092.720330815,4271816.35149024,73
"453","PPW1329","B1",524093.884980816,4271800.58549024,71
"454","PPW1329","B2",524095.112168318,4271805.43211524,75
"455","PPW1329","B3",524096.339355816,4271810.27874024,74
"456","PPW1329","B4",524097.566543318,4271815.12536524,82
"457","PPW1329","C1",524098.732318318,4271799.36011524,83
"458","PPW1329","C2",524099.959130819,4271804.20649024,82
"459","PPW1329","C3",524101.185943316,4271809.05286524,82
"460","PPW1329","C4",524102.412755818,4271813.89924024,92
"461","PPW1329","D1",524103.579655819,4271798.13474024,82
"462","PPW1329","D2",524104.806093319,4271802.98086524,87
"463","PPW1329","D3",524106.032530818,4271807.82699024,84
"464","PPW1329","D4",524107.258968317,4271812.67311524,80
"465","PPW1330","A1",523771.954346478,4271473.65063055,100
"466","PPW1330","A2",523773.095690228,4271478.1567868,97
"467","PPW1330","A3",523774.237033977,4271482.66294305,108
"468","PPW1330","A4",523775.378377729,4271487.1690993,106
"469","PPW1330","B1",523776.721340227,4271472.4455368,89
"470","PPW1330","B2",523777.862321477,4271476.95150555,97
"471","PPW1330","B3",523779.003302726,4271481.4574743,102
"472","PPW1330","B4",523780.144283977,4271485.96344305,93
"473","PPW1330","C1",523781.488333976,4271471.24044305,86
"474","PPW1330","C2",523782.628952726,4271475.7462243,87
"475","PPW1330","C3",523783.769571478,4271480.25200555,85
"476","PPW1330","C4",523784.910190227,4271484.7577868,85
"477","PPW1330","D1",523786.255327727,4271470.0353493,87
"478","PPW1330","D2",523787.395583977,4271474.54094305,87
"479","PPW1330","D3",523788.535840225,4271479.0465368,100
"480","PPW1330","D4",523789.676096475,4271483.55213055,96
