"","Plot","Quad","x","y","Tubbs.barc.SBS"
"1","PPW1301","A1",526264.974547507,4270350.56712872,53
"2","PPW1301","A2",526266.078635007,4270354.92603497,61
"3","PPW1301","A3",526267.182722508,4270359.28494122,76
"4","PPW1301","A4",526268.286810007,4270363.64384747,58
"5","PPW1301","B1",526269.819185007,4270349.34228497,68
"6","PPW1301","B2",526270.922897507,4270353.70100372,67
"7","PPW1301","B3",526272.026610006,4270358.05972247,64
"8","PPW1301","B4",526273.130322507,4270362.41844122,70
"9","PPW1301","C1",526274.663822508,4270348.11744122,62
"10","PPW1301","C2",526275.767160007,4270352.47597247,71
"11","PPW1301","C3",526276.870497507,4270356.83450372,74
"12","PPW1301","C4",526277.973835007,4270361.19303497,65
"13","PPW1301","D1",526279.508460007,4270346.89259747,48
"14","PPW1301","D2",526280.611422508,4270351.25094122,72
"15","PPW1301","D3",526281.714385007,4270355.60928497,77
"16","PPW1301","D4",526282.817347507,4270359.96762872,77
"17","PPW1302","A1",525449.933154857,4269577.83511644,62
"18","PPW1302","A2",525451.159673608,4269582.67799144,48
"19","PPW1302","A3",525452.386192357,4269587.52086644,51
"20","PPW1302","A4",525453.612711107,4269592.36374143,74
"21","PPW1302","B1",525454.57257361,4269576.66224144,60
"22","PPW1302","B2",525455.798729858,4269581.50486644,65
"23","PPW1302","B3",525457.024886107,4269586.34749144,65
"24","PPW1302","B4",525458.251042357,4269591.19011643,63
"25","PPW1302","C1",525459.211992359,4269575.48936644,71
"26","PPW1302","C2",525460.437786109,4269580.33174144,70
"27","PPW1302","C3",525461.66357986,4269585.17411644,62
"28","PPW1302","C4",525462.889373609,4269590.01649143,63
"29","PPW1302","D1",525463.851411109,4269574.31649144,84
"30","PPW1302","D2",525465.076842358,4269579.15861644,42
"31","PPW1302","D3",525466.30227361,4269584.00074143,26
"32","PPW1302","D4",525467.527704859,4269588.84286643,62
"33","PPW1303","A1",526145.974982955,4269066.70698715,84
"34","PPW1303","A2",526147.145595455,4269071.32886215,100
"35","PPW1303","A3",526148.316207953,4269075.95073714,89
"36","PPW1303","A4",526149.486820453,4269080.57261214,105
"37","PPW1303","B1",526150.753945456,4269065.49886215,95
"38","PPW1303","B2",526151.924182955,4269070.12048715,103
"39","PPW1303","B3",526153.094420455,4269074.74211214,103
"40","PPW1303","B4",526154.264657955,4269079.36373714,99
"41","PPW1303","C1",526155.532907957,4269064.29073715,75
"42","PPW1303","C2",526156.702770457,4269068.91211214,76
"43","PPW1303","C3",526157.872632956,4269073.53348714,82
"44","PPW1303","C4",526159.042495457,4269078.15486214,87
"45","PPW1303","D1",526160.311870459,4269063.08261215,48
"46","PPW1303","D2",526161.481357959,4269067.70373715,76
"47","PPW1303","D3",526162.650845458,4269072.32486214,89
"48","PPW1303","D4",526163.820332958,4269076.94598714,79
"49","PPW1304","A1",525946.922781986,4269219.67763391,88
"50","PPW1304","A2",525948.07317261,4269224.21954016,66
"51","PPW1304","A3",525949.223563235,4269228.76144641,58
"52","PPW1304","A4",525950.373953861,4269233.30335267,91
"53","PPW1304","B1",525951.61759761,4269218.49079016,89
"54","PPW1304","B2",525952.767619483,4269223.03250891,66
"55","PPW1304","B3",525953.917641361,4269227.57422766,58
"56","PPW1304","B4",525955.067663236,4269232.11594641,99
"57","PPW1304","C1",525956.312413235,4269217.30394641,93
"58","PPW1304","C2",525957.462066358,4269221.84547766,77
"59","PPW1304","C3",525958.611719484,4269226.38700891,51
"60","PPW1304","C4",525959.761372609,4269230.92854017,99
"61","PPW1304","D1",525961.007228859,4269216.11710266,91
"62","PPW1304","D2",525962.156513232,4269220.65844641,77
"63","PPW1304","D3",525963.30579761,4269225.19979016,64
"64","PPW1304","D4",525964.455081982,4269229.74113392,64
"65","PPW1305","A1",526060.78925872,4269631.62838121,74
"66","PPW1305","A2",526061.900108721,4269636.01428746,73
"67","PPW1305","A3",526063.01095872,4269640.40019371,68
"68","PPW1305","A4",526064.121808723,4269644.78609996,68
"69","PPW1305","B1",526065.25658372,4269630.49903746,66
"70","PPW1305","B2",526066.36708372,4269634.88475621,66
"71","PPW1305","B3",526067.477583721,4269639.27047496,82
"72","PPW1305","B4",526068.588083721,4269643.65619371,79
"73","PPW1305","C1",526069.72390872,4269629.36969371,90
"74","PPW1305","C2",526070.834058719,4269633.75522496,90
"75","PPW1305","C3",526071.944208722,4269638.14075621,46
"76","PPW1305","C4",526073.05435872,4269642.52628746,81
"77","PPW1305","D1",526074.191233718,4269628.24034996,97
"78","PPW1305","D2",526075.301033719,4269632.62569371,84
"79","PPW1305","D3",526076.410833718,4269637.01103746,74
"80","PPW1305","D4",526077.520633719,4269641.39638121,48
"81","PPW1306","A1",526024.997130802,4270887.7608654,93
"82","PPW1306","A2",526026.196040177,4270892.4944904,88
"83","PPW1306","A3",526027.394949554,4270897.2281154,91
"84","PPW1306","A4",526028.593858927,4270901.9617404,52
"85","PPW1306","B1",526029.792090178,4270886.5487404,99
"86","PPW1306","B2",526030.990618303,4270891.2821154,92
"87","PPW1306","B3",526032.18914643,4270896.0154904,93
"88","PPW1306","B4",526033.387674554,4270900.7488654,58
"89","PPW1306","C1",526034.587049555,4270885.3366154,100
"90","PPW1306","C2",526035.78519643,4270890.0697404,98
"91","PPW1306","C3",526036.983343306,4270894.8028654,98
"92","PPW1306","C4",526038.18149018,4270899.5359904,90
"93","PPW1306","D1",526039.382008932,4270884.1244904,109
"94","PPW1306","D2",526040.579774557,4270888.8573654,107
"95","PPW1306","D3",526041.777540181,4270893.5902404,94
"96","PPW1306","D4",526042.975305805,4270898.3231154,93
"97","PPW1307","A1",525890.796643534,4270664.79336408,83
"98","PPW1307","A2",525891.986821659,4270669.49273908,77
"99","PPW1307","A3",525893.176999783,4270674.19211408,67
"100","PPW1307","A4",525894.367177906,4270678.89148908,79
"101","PPW1307","B1",525895.199396661,4270663.68048908,97
"102","PPW1307","B2",525896.389231034,4270668.37961408,99
"103","PPW1307","B3",525897.579065409,4270673.07873908,71
"104","PPW1307","B4",525898.768899784,4270677.77786408,73
"105","PPW1307","C1",525899.602149786,4270662.56761408,97
"106","PPW1307","C2",525900.79164041,4270667.26648908,94
"107","PPW1307","C3",525901.981131034,4270671.96536408,93
"108","PPW1307","C4",525903.170621659,4270676.66423908,78
"109","PPW1307","D1",525904.004902912,4270661.45473908,60
"110","PPW1307","D2",525905.194049787,4270666.15336408,82
"111","PPW1307","D3",525906.383196661,4270670.85198908,81
"112","PPW1307","D4",525907.572343535,4270675.55061408,94
"113","PPW1308","A1",522750.008869483,4273141.75636352,76
"114","PPW1308","A2",522751.207056984,4273146.48723852,69
"115","PPW1308","A3",522752.405244482,4273151.21811352,69
"116","PPW1308","A4",522753.603431983,4273155.94898852,69
"117","PPW1308","B1",522754.828031985,4273140.53798852,76
"118","PPW1308","B2",522756.025844485,4273145.26861352,77
"119","PPW1308","B3",522757.223656985,4273149.99923852,77
"120","PPW1308","B4",522758.421469484,4273154.72986352,73
"121","PPW1308","C1",522759.647194485,4273139.31961352,77
"122","PPW1308","C2",522760.844631987,4273144.04998852,77
"123","PPW1308","C3",522762.042069488,4273148.78036352,76
"124","PPW1308","C4",522763.239506985,4273153.51073852,74
"125","PPW1308","D1",522764.466356986,4273138.10123852,79
"126","PPW1308","D2",522765.663419488,4273142.83136352,71
"127","PPW1308","D3",522766.860481987,4273147.56148852,71
"128","PPW1308","D4",522768.057544487,4273152.29161352,68
"129","PPW1309","A1",522835.00121756,4273340.81411639,82
"130","PPW1309","A2",522836.225930059,4273345.64974139,81
"131","PPW1309","A3",522837.450642559,4273350.48536639,83
"132","PPW1309","A4",522838.675355059,4273355.32099139,94
"133","PPW1309","B1",522839.778555061,4273339.60649139,90
"134","PPW1309","B2",522841.00289256,4273344.44186639,79
"135","PPW1309","B3",522842.227230059,4273349.27724139,78
"136","PPW1309","B4",522843.45156756,4273354.11261639,86
"137","PPW1309","C1",522844.555892561,4273338.39886639,84
"138","PPW1309","C2",522845.779855061,4273343.23399139,85
"139","PPW1309","C3",522847.003817559,4273348.06911639,85
"140","PPW1309","C4",522848.22778006,4273352.90424139,83
"141","PPW1309","D1",522849.333230063,4273337.19124139,80
"142","PPW1309","D2",522850.556817562,4273342.02611639,87
"143","PPW1309","D3",522851.780405061,4273346.86099139,87
"144","PPW1309","D4",522853.003992561,4273351.69586639,80
"145","PPW1310","A1",522785.978734517,4273545.58600449,71
"146","PPW1310","A2",522787.092297017,4273549.98241074,71
"147","PPW1310","A3",522788.205859519,4273554.37881699,82
"148","PPW1310","A4",522789.319422018,4273558.77522324,80
"149","PPW1310","B1",522790.822272018,4273544.36141074,69
"150","PPW1310","B2",522791.935459516,4273548.7576295,75
"151","PPW1310","B3",522793.048647017,4273553.15384824,66
"152","PPW1310","B4",522794.161834517,4273557.550067,84
"153","PPW1310","C1",522795.665809517,4273543.13681699,83
"154","PPW1310","C2",522796.778622016,4273547.53284825,79
"155","PPW1310","C3",522797.891434516,4273551.9288795,82
"156","PPW1310","C4",522799.004247018,4273556.32491075,92
"157","PPW1310","D1",522800.509347015,4273541.91222325,87
"158","PPW1310","D2",522801.621784515,4273546.30806699,78
"159","PPW1310","D3",522802.734222016,4273550.70391075,86
"160","PPW1310","D4",522803.846659516,4273555.0997545,87
"161","PPW1311","A1",522463.648816674,4273305.90564217,52
"162","PPW1311","A2",522464.874529176,4273310.74579842,50
"163","PPW1311","A3",522466.100241677,4273315.58595467,64
"164","PPW1311","A4",522467.325954177,4273320.42611092,56
"165","PPW1311","B1",522467.720429175,4273304.87654842,62
"166","PPW1311","B2",522468.945816674,4273309.71651717,59
"167","PPW1311","B3",522470.171204175,4273314.55648592,63
"168","PPW1311","B4",522471.396591674,4273319.39645467,54
"169","PPW1311","C1",522471.792041672,4273303.84745467,59
"170","PPW1311","C2",522473.017104172,4273308.68723592,60
"171","PPW1311","C3",522474.242166674,4273313.52701717,63
"172","PPW1311","C4",522475.467229174,4273318.36679842,68
"173","PPW1311","D1",522475.86365417,4273302.81836092,63
"174","PPW1311","D2",522477.08839167,4273307.65795467,67
"175","PPW1311","D3",522478.313129173,4273312.49754842,62
"176","PPW1311","D4",522479.537866672,4273317.33714217,68
"177","PPW1312","A1",522508.985458147,4272841.66850686,80
"178","PPW1312","A2",522510.139073772,4272846.22316311,86
"179","PPW1312","A3",522511.292689397,4272850.77781936,78
"180","PPW1312","A4",522512.446305021,4272855.33247561,79
"181","PPW1312","B1",522513.80239877,4272840.45066311,72
"182","PPW1312","B2",522514.955645645,4272845.00513186,86
"183","PPW1312","B3",522516.10889252,4272849.55960061,88
"184","PPW1312","B4",522517.262139395,4272854.11406936,84
"185","PPW1312","C1",522518.619339395,4272839.23281936,74
"186","PPW1312","C2",522519.77221752,4272843.78710061,78
"187","PPW1312","C3",522520.925095645,4272848.34138186,82
"188","PPW1312","C4",522522.077973771,4272852.89566311,82
"189","PPW1312","D1",522523.436280019,4272838.01497561,81
"190","PPW1312","D2",522524.588789394,4272842.56906936,76
"191","PPW1312","D3",522525.741298769,4272847.12316311,91
"192","PPW1312","D4",522526.893808146,4272851.67725686,90
"193","PPW1313","A1",522846.746307133,4272671.70063436,108
"194","PPW1313","A2",522847.886335258,4272676.20204061,91
"195","PPW1313","A3",522849.026363384,4272680.70344686,95
"196","PPW1313","A4",522850.166391509,4272685.20485311,90
"197","PPW1313","B1",522851.098560256,4272670.60029061,102
"198","PPW1313","B2",522852.238244631,4272675.10150936,98
"199","PPW1313","B3",522853.377929009,4272679.60272811,98
"200","PPW1313","B4",522854.517613383,4272684.10394686,93
"201","PPW1313","C1",522855.450813382,4272669.49994686,101
"202","PPW1313","C2",522856.590154006,4272674.00097811,92
"203","PPW1313","C3",522857.729494633,4272678.50200936,95
"204","PPW1313","C4",522858.868835258,4272683.00304061,108
"205","PPW1313","D1",522859.803066505,4272668.39960311,101
"206","PPW1313","D2",522860.942063381,4272672.90044686,91
"207","PPW1313","D3",522862.081060255,4272677.40129061,92
"208","PPW1313","D4",522863.22005713,4272681.90213436,98
"209","PPW1314","A1",523240.858115965,4272550.83686871,62
"210","PPW1314","A2",523242.076384714,4272555.64724371,77
"211","PPW1314","A3",523243.294653465,4272560.45761871,82
"212","PPW1314","A4",523244.512922216,4272565.26799371,79
"213","PPW1314","B1",523245.355709717,4272549.69999371,76
"214","PPW1314","B2",523246.573615965,4272554.51011871,78
"215","PPW1314","B3",523247.791522216,4272559.32024371,83
"216","PPW1314","B4",523249.009428465,4272564.13036871,87
"217","PPW1314","C1",523249.853303467,4272548.56311871,76
"218","PPW1314","C2",523251.070847217,4272553.37299371,83
"219","PPW1314","C3",523252.288390966,4272558.18286871,78
"220","PPW1314","C4",523253.505934718,4272562.99274371,84
"221","PPW1314","D1",523254.350897217,4272547.42624371,84
