"","Plot","x","y","Tubbs.clark.RBR"
"1","PPW1501",-2273766.69715844,2049491.6762144,251.588439941406
"2","PPW1507",-2274033.44904881,2049900.05995998,138.189071655273
"3","PPW1509",-2276181.912066,2053343.90032873,22.0765228271484
"4","PPW1510",-2276170.45954429,2053556.28497691,148.338638305664
"5","PPW1512",-2276633.24681707,2052950.64843511,-13.1722421646118
"6","PPW1515",-2274877.93650849,2051093.93057753,51.8750343322754
"7","PPW1521",-2275430.94993551,2049179.22185712,39.7054138183594
"8","PPW1522",-2275111.04754415,2049044.70816692,95.6027450561523
"9","PPW1524",-2275639.85079529,2051775.37565934,78.915153503418
"10","PPW1525",-2273444.22980409,2049878.37771222,181.387496948242
"11","PPW1532",-2274740.19711209,2050752.71196329,77.9135131835938
"12","PPW1535",-2274679.12970475,2050491.7752154,44.829719543457
"13","PPW1538",-2275200.4752958,2049229.74362684,17.0842132568359
"14","PPW1539",-2275196.44349345,2049399.04703907,31.5142822265625
"15","PPW1540",-2273171.32290363,2048201.1559408,195.608489990234
"16","PPW1544",-2276278.60639985,2052889.12528298,6.45477151870728
"17","PPW1549",-2273513.45812691,2049517.65362415,139.626495361328
"18","PPW2152",-2272905.50534856,2048542.32120406,548.533020019531
