"","","plot.scorch"
"PPW1301",313.691009521,5
"PPW1302",138.698760986,9.94296313692626
"PPW1303",363.589294434,69.3997530727662
"PPW1304",177.513290405,33.4727804731813
"PPW1305",187.355422974,41.7437671785273
"PPW1306",299.474731445,33.1707771761702
"PPW1307",223.506332397,63.2381478864583
"PPW1308",-2.43681669235,0
"PPW1309",45.7692756653,0
"PPW1310",208.523529053,14.4961059536484
"PPW1311",21.2549571991,0
"PPW1312",-61.3376502991,0
"PPW1313",39.6413803101,13.5034786751088
"PPW1314",86.3379211426,11.9029631660043
"PPW1315",133.610153198,9.80313445717107
"PPW1316",233.615875244,63.9164410905533
"PPW1317",122.777374268,9.71655365557234
"PPW1318",274.773956299,13.3612143723494
"PPW1319",179.550491333,27.427425069899
"PPW1320",86.6051330566,17.6810455215083
"PPW1321",64.5088577271,8.99629608183309
"PPW1322",54.5207862854,14.3719602003762
"PPW1323",202.913604736,3.548292621465
"PPW1324",121.027709961,10.8881826443391
"PPW1325",179.845046997,4.18005115751445
"PPW1326",46.8979492188,12.1874751131496
"PPW1327",-21.0279827118,0
"PPW1328",6.21825456619,8.8079956116877
"PPW1329",30.0679798126,4.70758592908511
"PPW1330",21.7983722687,41.7000624503079
"PPW1331",63.6525764465,6.91901951803962
"PPW1332",116.613861084,4.62697273341986
"PPW1333",257.725067139,11.9201460724754
"PPW1334",205.043701172,14.6358172424769
"PPW1335",70.4838638306,0
"PPW1336",119.799705505,73.4802039861204
"PPW1337",150.668823242,6.81850772483986
"PPW1338",28.3171539307,9.95570253738985
"PPW1339",46.5738754272,33.0974995149509
"PPW1340",226.966445923,75.861725268953
"PPW1341",311.73626709,76.7073029932345
"PPW1342",802.371582031,89.9317987027697
"PPW1343",18.8505058289,0
"PPW1344",-0.28184056282,0
"PPW1345",89.4005889893,18.5983547728913
"PPW1346",92.2500762939,26.8289674892059
"PPW1347",-25.7163047791,0
"PPW1348",67.824005127,21.3710275621458
"PPW1349",230.57359314,24.5705241282559
"PPW1350",9.80228233337,25.0280863671067
