,Plot,Species,PercScorch,ScorchUnderEstimate,Notes,SA.Basal.Area,SA.Count,TR.Basal.Area,TR.Count,Year,
86,PPW1321,AMOCAL,NA,,,237.6558294,21,0,0,2014,
87,PPW1321,ARBMEN,10,,,1.509849429,2,1583.370551,1,2014,
88,PPW1321,CERBET,NA,,,1.545899205,1,0,0,2014,
89,PPW1321,FRACAL,NA,,,3.627911196,14,0,0,2014,
90,PPW1321,PSEMEN,NA,,,3.963197672,2,0,0,2014,
91,PPW1321,QUEAGR,NA,,,0.251327412,1,827.8351897,1,2014,
92,PPW1321,QUEGAR,0,,,1.306981084,1,4206.121324,8,2014,
93,PPW1321,QUEKEL,50,,,0,0,1268.516209,5,2014,
94,PPW1321,UMBCAL,NA,,,102.3706816,70,573.8420575,2,2014,
95,PPW1322,ARBMEN,NA,,,5.557163245,1,0,0,2014,
96,PPW1322,BACPIL,NA,,,0,0,20.65251595,1,2014,
97,PPW1322,QUEAGR,10,,,17.52411798,5,1346.141036,1,2014,
98,PPW1322,QUEDOU,15,,average of 10 for QUEDOU and 20 for QUEGAR which isn't in this survey,0,0,10092.63147,11,2014,
99,PPW1323,QUEAGR,5,,,0,0,6511.983259,5,2014,
100,PPW1323,QUEDOU,0,,,0,0,2664.237467,4,2014,
101,PPW1324,ARBMEN,5,,,0,0,1585.155369,1,2014,
102,PPW1324,PSEMEN,NA,,,11.59216273,7,0,0,2014,
103,PPW1324,QUEAGR,5,,,0,0,1817.705874,3,2014,
104,PPW1324,QUEGAR,10,,,0,0,3486.926336,3,2014,
105,PPW1324,QUEKEL,20,,,0,0,2565.018117,5,2014,
106,PPW1324,UMBCAL,NA,,,10.29217169,1,0,0,2014,
107,PPW1325,ARCMAN,50,,,0,0,797.6994621,4,2014,
108,PPW1325,QUEAGR,10,,,0,0,1010.344051,1,2014,
109,PPW1325,QUEDOU,0,,"only recorded for QUEGAR, entered for QUEDOU as well",0,0,6305.543629,10,2014,
110,PPW1325,QUEGAR,0,,,0,0,3845.217124,5,2014,
111,PPW1326,ARBMEN,0,,,0,0,2173.834854,2,2014,
112,PPW1326,PSEMEN,30,,,0.664761005,1,7423.196239,42,2014,
113,PPW1326,QUEAGR,NA,,,0,0,36.31681108,1,2014,
114,PPW1326,QUEGAR,0,,,0,0,8437.1005,8,2014,
115,PPW1326,UMBCAL,10,,,140.3891363,145,990.8639778,7,2014,
116,PPW1327,ADEFAS,NA,,,15.15802747,3,0,0,2014,
117,PPW1327,ARBMEN,NA,,,0,0,1229.281643,2,2014,
118,PPW1327,BACPIL,NA,,,2.08672438,1,0,0,2014,
119,PPW1327,CEACUN,NA,,,5.997378916,5,0,0,2014,
120,PPW1327,FRACAL,NA,,,3.078760801,1,0,0,2014,
121,PPW1327,HETARB,0,,,90.9912832,23,110.9951388,10,2014,
122,PPW1327,PSEMEN,0,,,6.961062462,7,9218.219265,31,2014,
123,PPW1327,QUEAGKE,NA,,,1.142440168,3,12.10903326,1,2014,
124,PPW1327,QUEAGR,0,,,3.120072744,8,9089.782239,11,2014,
125,PPW1327,QUEBER,NA,,,74.84129785,31,21.69968732,6,2014,
126,PPW1327,UMBCAL,NA,,,17.68606708,6,0,0,2014,
127,PPW1328,AMOCAL,NA,,,0.71856078,3,0,0,2014,
128,PPW1328,ARBMEN,NA,,,4.856116844,4,40.61537376,2,2014,
129,PPW1328,FRACAL,NA,,,122.9696334,22,26.93617249,3,2014,
130,PPW1328,HETARB,NA,,,0.907291958,1,0,0,2014,
131,PPW1328,PSEMEN,NA,,,3173.717088,199,160.4231512,19,2014,
132,PPW1328,QUEAGR,10,,,153.3627359,10,26207.83515,58,2014,
133,PPW1328,UMBCAL,NA,,,21.53035547,9,12.10510627,3,2014,
134,PPW1328,UNK28,NA,,,2.73695552,1,0,0,2014,
135,PPW1329,HETARB,10,,,0,0,164.6822869,1,2014,
136,PPW1329,PSEMEN,NA,,,0.708821842,1,0,0,2014,
137,PPW1329,QUEAGR,5,,,0,0,21967.6259,14,2014,
138,PPW1329,QUEGAR,0,,,0,0,1548.962258,4,2014,
139,PPW1330,AMOCAL,NA,,,180.2077236,43,20.3829673,10,2014,
140,PPW1330,ARBMEN,90,,,0.693977817,1,1599.753957,8,2014,
141,PPW1330,CEACUN,NA,,,1.056831769,1,0,0,2014,
142,PPW1330,FRACAL,NA,,,25.38689607,18,3.332051708,2,2014,
143,PPW1330,HETARB,90,,,82.12570873,26,916.0946224,43,2014,
144,PPW1330,PSEMEN,80,,,9.571568878,11,2319.047984,53,2014,
145,PPW1330,QUEAGR,15,,,23.05135756,20,1197.636695,3,2014,
146,PPW1330,QUEGAR,5,,,0.239703519,2,5127.941185,15,2014,
147,PPW1330,UMBCAL,80,,,162.6998634,148,274.6099911,49,2014,
148,PPW1330,UNKN30,NA,,,25.11114278,1,0,0,2014,
149,PPW1331,ARBMEN,NA,,,4.071661159,1,0,0,2014,
150,PPW1331,HETARB,100,,,0,0,104.7216139,2,2014,
151,PPW1331,PSEMEN,5,,,6.205587969,5,4124.505417,13,2014,
152,PPW1331,QUEAGR,10,,,0.566114996,2,3823.218121,7,2014,
153,PPW1331,QUEGAR,0,,,0,0,4958.414955,3,2014,
154,PPW1331,UMBCAL,90,,,249.5620728,21,0,0,2014,
155,PPW1332,AESCAL,NA,,,0.229022104,1,1221.182225,3,2014,
156,PPW1332,QUEDEC,5,1,value copied from QUEGAR,0,0,477.2255955,1,2014,
157,PPW1332,QUEGAR,5,1,,0,0,11178.2579,16,2014,
158,PPW1332,UMBCAL,5,,,13.86706851,4,3480.846333,14,2014,
159,PPW1333,PSEMEN,NA,,,15.55096218,3,0,0,2014,
160,PPW1333,QUEAGR,10,,,0,0,2329.482392,5,2014,
161,PPW1333,QUEGAR,5,,"QUEGAR not recorded, used value from QUEKEL",0,0,4008.342359,5,2014,
162,PPW1333,QUEKEL,5,,,0,0,5093.935408,4,2014,
163,PPW1333,UMBCAL,40,,,55.8149488,39,2353.293308,4,2014,
164,PPW1334,AESCAL,NA,,,0,0,392.7054434,2,2014,
165,PPW1334,QUEGAR,15,,,0,0,15828.7791,24,2014,
166,PPW1334,UMBCAL,NA,,,1.161760963,1,0,0,2014,
167,PPW1335,AESCAL,0,,,0,0,835.9581702,2,2014,
168,PPW1335,PSEMEN,NA,,,10.34911306,1,0,0,2014,
169,PPW1335,QUEDOU,0,,"QUEDOU not recorded, used value from QUEGAR",0,0,1465.741468,1,2014,
170,PPW1335,QUEGAR,0,,,0,0,11875.69932,13,2014,
171,PPW1335,UMBCAL,NA,,,8.59131343,13,0,0,2014,
172,PPW1336,PSEMEN,NA,,,4.878971931,3,0,0,2014,
173,PPW1336,QUEAGR,80,,,0,0,9292.078815,15,2014,
174,PPW1336,QUEGAR,60,,,0,0,4419.019204,7,2014,
175,PPW1336,UMBCAL,NA,,,8.909478226,3,0,0,2014,
176,PPW1337,AESCAL,NA,,,0.603814108,1,0,0,2014,
