PROJECT,PointID,RBR_MEAN,Canopy_Damage_Percent_MEAN,Soil_Burn_Severity_MEAN,Dfir_Treatment,VegComm,Slope_measured,NPSBurnSevSubstrate,NPSBurnSevVegetation,EvidenceD-firEncroachment,plot.scorch
FTEA,QUGA3T,8.80092,2.3892129,2,Treated,Oregon oak forest,66,3,3,No,
FTEA,QUGA3U,10.9048,1.6802226,2,Untreated,Oregon oak forest,54,3,3,No,
FTEA,QUGA4T,145.373,17.1512007,2,Treated,Oregon oak forest,52,3,3,No,
FTEA,QUGA4U,213.373,38.5886961,2,Untreated,Oregon oak forest,67,3,3,Yes,
FTEA,QUGA5T,310.584,72.86600938,2.929,Treated,Oregon oak forest,23,4,4,Yes,
FTEA,QUGA5U,239.812,79.06721108,2.833,Untreated,Oregon oak forest,25,4,4,Yes,
FTEA,QUGA6T,143.145,29.8374542,2,Treated,Oregon oak forest,15,2,4,Yes,
FTEA,QUGA6U,66.3329,11.58288066,2,Untreated,Oregon oak forest,5,2,2,Yes,
FTEA,QUGA7T,159.391,26.81354666,2,Treated,Oregon oak forest,30,2,3,No,
FTEA,QUGA7U,88.3914,1.582178932,2,Untreated,Oregon oak forest,65,3,4,Yes,
FTEA,QUGA8T,156.742,11.3327448,2,Treated,Oregon oak forest,12,2,3,Yes,
FTEA,QUGA8U,28.0443,0,2,Untreated,Oregon oak forest,55,2,4,Yes,
FTEA,QUGA9T,118.182,29.91010812,2,Treated,Oregon oak forest,35,3,4,Yes,
FTEA,QUGA9U,49.6487,2.784749,2,Untreated,Oregon oak forest,25,2,4,Yes,
FTEA,QUGA10T,65.8091,1.549702378,2,Treated,Oregon oak forest,36,2,4,Yes,
FTEA,QUGA10U,50.1239,8.582261,2,Untreated,Oregon oak forest,50,2,4,Yes,
FTEA,QUKE1T,194.745,91.8396504,2.25,Treated,Black oak forest,11,1,4,Yes,
FTEA,QUKE2T,192.782,84.29492302,2.333,Treated,Black oak forest,22,1,3,Yes,
FTEA,QUKE2U,117.006,24.3267776,2,Untreated,Black oak forest,19,4,4,Yes,
FTEA,QUKE3T,247.365,99.7288277,3,Treated,Black oak forest,15,2,3,No,
FTEA,QUKE3U,55.8196,15.51326699,1.917,Untreated,Black oak forest,25,3,4,Yes,
Rx,RxF01,85.1796,36.46549,1.857143,,,,,,,
Rx,RxF02,124.5386,51.91125,1.888889,,,,,,,
Rx,RxF03,150.8549,62.69099,2.035714,,,,,,,
Rx,RxF04,134.7159,73.32761,2.137931,,,,,,,
Rx,RxF05,200.0574,61.68589,2,,,,,,,
Rx,RxF06,157.8603,88.35148,2,,,,,,,
Rx,RxF07,193.7244,87.62444,2.137931,,,,,,,
Rx,RxF08,251.3433,93.33541,2.206897,,,,,,,
Rx,RxF09,370.0596,90.66086,3,,,,,,,
ForDyn,PPW1301,218.2512,78.49456,1.875,,,26,,,,5
ForDyn,PPW1302,81.5708,12.95538,1.9375,,,0,,,,9.94296314
ForDyn,PPW1303,127.9162,32.4643,2,,,20,,,,69.3997531
ForDyn,PPW1304,145.1111,53.94325,2,,,25,,,,33.4727805
ForDyn,PPW1305,123.9627,31.58086,1.875,,,34,,,,41.7437672
ForDyn,PPW1306,190.3577,85.48641,2,,,15,,,,33.1707772
ForDyn,PPW1307,161.1948,17.96185,2,,,28.5,,,,63.2381479
ForDyn,PPW1308,3.976456,0,0,,,14,,,,0
ForDyn,PPW1309,30.90598,16.91993,NA,,,10.5,,,,0
ForDyn,PPW1310,141.409,28.59475,2,,,25,,,,14.496106
ForDyn,PPW1311,31.41497,0,0,,,33,,,,0
ForDyn,PPW1312,-15.6727,0,0,,,21,,,,0
ForDyn,PPW1313,25.49671,10.60849,2,,,34,,,,13.5034787
ForDyn,PPW1314,59.49631,5.724861,2,,,23,,,,11.9029632
ForDyn,PPW1315,56.46171,2.127976,2,,,15,,,,9.80313446
ForDyn,PPW1316,136.5326,38.49961,2,,,34,,,,63.9164411
ForDyn,PPW1317,89.06623,10.42873,2,,,25,,,,9.71655366
ForDyn,PPW1318,185.2549,30.0496,2,,,26,,,,13.3612144
ForDyn,PPW1319,74.5671,19.76365,2,,,21,,,,27.4274251
ForDyn,PPW1320,56.1261,19.18213,2,,,23.5,,,,17.6810455
ForDyn,PPW1321,24.96945,1.779587,2,,,28.5,,,,8.99629608
ForDyn,PPW1322,78.58476,12.00902,1.8125,,,8,,,,14.3719602
ForDyn,PPW1323,146.297,3.667373,2,,,11.5,,,,3.54829262
ForDyn,PPW1324,104.2543,3.852126,2,,,14.5,,,,10.8881826
ForDyn,PPW1325,140.2164,38.43879,1.0625,,,15,,,,4.18005116
ForDyn,PPW1326,28.19833,9.79474,2,,,25.5,,,,12.1874751
ForDyn,PPW1327,-11.176,0,0,,,17.5,,,,0
ForDyn,PPW1328,1.04406,1.626502,2,,,14,,,,8.80799561
ForDyn,PPW1329,0.283043,9.206826,2,,,0,,,,4.70758593
ForDyn,PPW1330,10.86405,23.94528,2.1875,,,24,,,,41.7000625
ForDyn,PPW1331,28.80656,2.73726,2,,,24,,,,6.91901952
ForDyn,PPW1332,52.34336,0.417955,2,,,24,,,,4.62697273
ForDyn,PPW1333,143.0246,15.91587,2,,,26,,,,11.9201461
ForDyn,PPW1334,95.40431,9.734783,1.6875,,,29,,,,14.6358172
ForDyn,PPW1335,54.97496,3.685789,1.9375,,,16,,,,0
ForDyn,PPW1336,47.62653,22.63133,1.8125,,,24,,,,73.480204
ForDyn,PPW1337,88.61904,20.45276,1.6875,,,6.5,,,,6.81850772
