,Plot,Species,Type,Basal.Area,Count,Year,PercScorch
107,PPW1329,QUEGAR,TR,1548.962258,4,2014,
108,PPW1330,AMOCAL,TR,20.3829673,10,2014,
109,PPW1330,ARBMEN,TR,1599.753957,8,2014,
110,PPW1330,FRACAL,TR,3.332051708,2,2014,
111,PPW1330,HETARB,TR,916.0946224,43,2014,
112,PPW1330,PSEMEN,TR,2319.047984,53,2014,
113,PPW1330,QUEAGR,TR,1197.636695,3,2014,
114,PPW1330,QUEGAR,TR,5127.941185,15,2014,
115,PPW1330,UMBCAL,TR,274.6099911,49,2014,
116,PPW1331,HETARB,TR,104.7216139,2,2014,
117,PPW1331,PSEMEN,TR,4124.505417,13,2014,
118,PPW1331,QUEAGR,TR,3823.218121,7,2014,
119,PPW1331,QUEGAR,TR,4958.414955,3,2014,
120,PPW1332,AESCAL,TR,1221.182225,3,2014,
121,PPW1332,QUEDEC,TR,477.2255955,1,2014,
122,PPW1332,QUEGAR,TR,11178.2579,16,2014,
123,PPW1332,UMBCAL,TR,3480.846333,14,2014,
124,PPW1333,QUEAGR,TR,2329.482392,5,2014,
125,PPW1333,QUEGAR,TR,4008.342359,5,2014,
126,PPW1333,QUEKEL,TR,5093.935408,4,2014,
127,PPW1333,UMBCAL,TR,2353.293308,4,2014,
128,PPW1334,AESCAL,TR,392.7054434,2,2014,
129,PPW1334,QUEGAR,TR,15828.7791,24,2014,
130,PPW1335,AESCAL,TR,835.9581702,2,2014,
131,PPW1335,QUEDOU,TR,1465.741468,1,2014,
132,PPW1335,QUEGAR,TR,11875.69932,13,2014,
133,PPW1336,QUEAGR,TR,9292.078815,15,2014,
134,PPW1336,QUEGAR,TR,4419.019204,7,2014,
135,PPW1337,ARBMEN,TR,438.8641574,10,2014,
136,PPW1337,PSEMEN,TR,27394.30867,20,2014,
137,PPW1337,QUEAGR,TR,2.29658277,1,2014,
138,PPW1337,QUEKEL,TR,1209.954958,1,2014,
139,PPW1337,UMBCAL,TR,42.63997315,1,2014,
140,PPW1338,PSEMEN,TR,35.78470382,1,2014,
141,PPW1338,QUEAGR,TR,13094.02859,6,2014,
142,PPW1339,QUEAGR,TR,12285.45733,7,2014,
143,PPW1339,QUEDOU,TR,3717.273799,5,2014,
144,PPW1339,UMBCAL,TR,2.573042923,1,2014,
145,PPW1340,ARBMEN,TR,176.9290005,5,2014,
146,PPW1340,NOTDEN,TR,69.39778172,1,2014,
147,PPW1340,PSEMEN,TR,12018.0547,4,2014,
148,PPW1340,QUEAGR,TR,1883.636123,4,2014,
149,PPW1340,UMBCAL,TR,1069.294467,6,2014,
150,PPW1341,PSEMEN,TR,12078.28689,3,2014,
151,PPW1341,QUEAGR,TR,4386.261347,8,2014,
152,PPW1341,UMBCAL,TR,29.34946543,2,2014,
153,PPW1342,NOTDEN,TR,39.29551215,3,2014,
154,PPW1342,PSEMEN,TR,37562.97148,22,2014,
155,PPW1342,QUEAGR,TR,323.6874017,2,2014,
