"","Plot","Quad","x","y","Tubbs.clark.RBR"
"176","PPW1522","A1",-2275160.4146803,2049017.03852389,61.6206130981445
"177","PPW1522","A2",-2275154.75101935,2049036.43076719,36.2600898742676
"178","PPW1522","A3",-2275149.08735835,2049055.82300972,38.4855880737305
"179","PPW1522","A4",-2275143.42369732,2049075.21525149,38.9304428100586
"180","PPW1522","A5",-2275137.76003624,2049094.60749251,38.9304428100586
"181","PPW1522","B1",-2275141.39477392,2049011.48110459,87.6523971557617
"182","PPW1522","B2",-2275135.73111237,2049030.87334745,36.2600898742676
"183","PPW1522","B3",-2275130.06745077,2049050.26558954,38.4855880737305
"184","PPW1522","B4",-2275124.40378913,2049069.65783087,71.2913436889648
"185","PPW1522","B5",-2275118.74012745,2049089.05007145,7.46983814239502
"186","PPW1522","C1",-2275122.37486851,2049005.92368286,103.355537414551
"187","PPW1522","C2",-2275116.71120635,2049025.31592527,95.6027450561523
"188","PPW1522","C3",-2275111.04754415,2049044.70816692,95.6027450561523
"189","PPW1522","C4",-2275105.38388191,2049064.10040781,71.2913436889648
"190","PPW1522","C5",-2275099.72021963,2049083.49264795,7.46983814239502
"191","PPW1522","D1",-2275103.35496406,2049000.3662587,103.355537414551
"192","PPW1522","D2",-2275097.6913013,2049019.75850067,95.6027450561523
"193","PPW1522","D3",-2275092.02763849,2049039.15074188,346.201568603516
"194","PPW1522","D4",-2275086.36397565,2049058.54298233,181.550903320312
"195","PPW1522","D5",-2275080.70031277,2049077.93522203,164.335464477539
"196","PPW1522","E1",-2275084.33506057,2048994.80883211,203.995666503906
"197","PPW1522","E2",-2275078.6713972,2049014.20107363,203.995666503906
"198","PPW1522","E3",-2275073.0077338,2049033.59331441,346.201568603516
"199","PPW1522","E4",-2275067.34407035,2049052.98555441,181.550903320312
"200","PPW1522","E5",-2275061.68040686,2049072.37779367,187.230438232422
"201","PPW1524","A1",-2275689.21813403,2051747.70594075,68.1395492553711
"202","PPW1524","A2",-2275683.55450889,2051767.09811816,68.1395492553711
"203","PPW1524","A3",-2275677.89088373,2051786.49029479,90.4466247558594
"204","PPW1524","A4",-2275672.22725855,2051805.88247064,90.3474884033203
"205","PPW1524","A5",-2275666.56363335,2051825.27464571,90.3474884033203
"206","PPW1524","B1",-2275670.19809059,2051742.14862513,81.1832046508789
"207","PPW1524","B2",-2275664.53446482,2051761.5408021,79.6368103027344
"208","PPW1524","B3",-2275658.87083903,2051780.93297829,78.915153503418
"209","PPW1524","B4",-2275653.20721322,2051800.32515371,78.915153503418
"210","PPW1524","B5",-2275647.54358739,2051819.71732835,66.623291015625
"211","PPW1524","C1",-2275651.1780481,2051736.59130704,81.0625076293945
"212","PPW1524","C2",-2275645.51442171,2051755.98348359,79.6368103027344
"213","PPW1524","C3",-2275639.85079529,2051775.37565934,78.915153503418
"214","PPW1524","C4",-2275634.18716884,2051794.76783432,130.374786376953
"215","PPW1524","C5",-2275628.52354238,2051814.16000853,109.425155639648
"216","PPW1524","D1",-2275632.15800658,2051731.03398649,19.4691848754883
"217","PPW1524","D2",-2275626.49437955,2051750.4261626,107.209671020508
"218","PPW1524","D3",-2275620.8307525,2051769.81833793,107.209671020508
"219","PPW1524","D4",-2275615.16712543,2051789.21051248,130.374786376953
"220","PPW1524","D5",-2275609.50349833,2051808.60268624,109.425155639648
"221","PPW1524","E1",-2275613.13796601,2051725.47666349,19.4691848754883
"222","PPW1524","E2",-2275607.47433835,2051744.86883916,19.4691848754883
"223","PPW1524","E3",-2275601.81071067,2051764.26101405,160.890106201172
"224","PPW1524","E4",-2275596.14708297,2051783.65318816,183.894943237305
"225","PPW1524","E5",-2275590.48345524,2051803.0453615,183.894943237305
"226","PPW1525","A1",-2273493.59697206,2049850.70861946,205.599075317383
"227","PPW1525","A2",-2273487.93326641,2049870.10078381,131.681945800781
"228","PPW1525","A3",-2273482.26956071,2049889.49294739,185.92350769043
"229","PPW1525","A4",-2273476.60585497,2049908.88511019,185.92350769043
"230","PPW1525","A5",-2273470.94214917,2049928.27727221,214.726104736328
"231","PPW1525","B1",-2273474.57709448,2049845.15100401,213.015686035156
"232","PPW1525","B2",-2273468.91338822,2049864.54316791,136.378173828125
"233","PPW1525","B3",-2273463.24968191,2049883.93533103,136.378173828125
"234","PPW1525","B4",-2273457.58597556,2049903.32749337,159.616577148438
"235","PPW1525","B5",-2273451.92226915,2049922.71965494,214.726104736328
"236","PPW1525","C1",-2273455.55721788,2049839.59338612,213.015686035156
"237","PPW1525","C2",-2273449.89351101,2049858.98554956,136.378173828125
"238","PPW1525","C3",-2273444.22980409,2049878.37771222,181.387496948242
"239","PPW1525","C4",-2273438.56609712,2049897.76987411,170.382843017578
"240","PPW1525","C5",-2273432.9023901,2049917.16203522,136.375930786133
"241","PPW1525","D1",-2273436.53734226,2049834.03576579,194.245178222656
"242","PPW1525","D2",-2273430.87363478,2049853.42792877,194.245178222656
"243","PPW1525","D3",-2273425.20992725,2049872.82009098,181.387496948242
"244","PPW1525","D4",-2273419.54621967,2049892.21225241,170.382843017578
"245","PPW1525","D5",-2273413.88251204,2049911.60441306,175.692169189453
"246","PPW1525","E1",-2273417.51746762,2049828.47814302,194.245178222656
"247","PPW1525","E2",-2273411.85375953,2049847.87030555,165.368637084961
"248","PPW1525","E3",-2273406.19005139,2049867.26246729,194.269836425781
"249","PPW1525","E4",-2273400.52634319,2049886.65462827,175.692169189453
"250","PPW1525","E5",-2273394.86263495,2049906.04678846,175.692169189453
"251","PPW1532","A1",-2274789.56436463,2050725.04249296,132.732894897461
"252","PPW1532","A2",-2274783.90070422,2050744.43467291,132.732894897461
"253","PPW1532","A3",-2274778.23704379,2050763.82685208,103.691513061523
"254","PPW1532","A4",-2274772.57338331,2050783.21903048,103.691513061523
"255","PPW1532","A5",-2274766.9097228,2050802.6112081,73.2735290527344
"256","PPW1532","B1",-2274770.54439954,2050719.48505068,78.0681381225586
"257","PPW1532","B2",-2274764.88073851,2050738.87723018,77.9135131835938
"258","PPW1532","B3",-2274759.21707746,2050758.26940891,22.131763458252
"259","PPW1532","B4",-2274753.55341636,2050777.66158687,22.131763458252
"260","PPW1532","B5",-2274747.88975523,2050797.05376405,28.9279766082764
"261","PPW1532","C1",-2274751.52443541,2050713.92760595,61.2496871948242
"262","PPW1532","C2",-2274745.86077377,2050733.31978501,77.9135131835938
"263","PPW1532","C3",-2274740.19711209,2050752.71196329,77.9135131835938
"264","PPW1532","C4",-2274734.53345037,2050772.10414081,81.3453979492188
"265","PPW1532","C5",-2274728.86978863,2050791.49631755,102.841033935547
"266","PPW1532","D1",-2274732.50447225,2050708.37015877,33.7766456604004
"267","PPW1532","D2",-2274726.84080999,2050727.76233739,34.1713371276855
"268","PPW1532","D3",-2274721.17714769,2050747.15451523,34.1713371276855
"269","PPW1532","D4",-2274715.51348536,2050766.54669229,81.3453979492188
"270","PPW1532","D5",-2274709.84982299,2050785.93886859,102.841033935547
"271","PPW1532","E1",-2274713.48451006,2050702.81270914,33.7766456604004
"272","PPW1532","E2",-2274707.82084717,2050722.20488731,33.7766456604004
"273","PPW1532","E3",-2274702.15718425,2050741.59706471,68.6351547241211
"274","PPW1532","E4",-2274696.4935213,2050760.98924133,103.866622924805
"275","PPW1532","E5",-2274690.82985831,2050780.38141718,103.866622924805
"276","PPW1535","A1",-2274728.49693756,2050464.10575542,107.311584472656
"277","PPW1535","A2",-2274722.83327345,2050483.49794135,107.311584472656
"278","PPW1535","A3",-2274717.16960931,2050502.8901265,24.1750411987305
"279","PPW1535","A4",-2274711.50594513,2050522.28231088,78.7035446166992
"280","PPW1535","A5",-2274705.84228091,2050541.67449449,78.7035446166992
"281","PPW1535","B1",-2274709.47698603,2050458.54830198,107.311584472656
"282","PPW1535","B2",-2274703.81332131,2050477.94048746,53.6747856140137
