"","Plot","Quad","x","y","Tubbs.SBS"
"1","PPW1301","A1",-13658728.9906502,4661863.37920561,2
"2","PPW1301","A2",-13658727.5612859,4661868.96839935,2
"3","PPW1301","A3",-13658726.13192,4661874.5575959,2
"4","PPW1301","A4",-13658724.7025525,4661880.14679527,2
"5","PPW1301","B1",-13658722.8041011,4661861.78693948,2
"6","PPW1301","B2",-13658721.3752137,4661867.37589244,2
"7","PPW1301","B3",-13658719.9463247,4661872.96484821,2
"8","PPW1301","B4",-13658718.5174342,4661878.55380679,2
"9","PPW1301","C1",-13658716.617554,4661860.19466986,2
"10","PPW1301","C2",-13658715.1891435,4661865.78338203,2
"11","PPW1301","C3",-13658713.7607314,4661871.37209701,2
"12","PPW1301","C4",-13658712.3323178,4661876.9608148,2
"13","PPW1301","D1",-13658710.4310088,4661858.60239673,2
"14","PPW1301","D2",-13658709.0030752,4661864.19086812,2
"15","PPW1301","D3",-13658707.5751401,4661869.77934232,2
"16","PPW1301","D4",-13658706.1472034,4661875.36781932,2
"17","PPW1302","A1",-13659773.79509,4660875.14791533,2
"18","PPW1302","A2",-13659772.2080088,4660881.35725157,2
"19","PPW1302","A3",-13659770.6209256,4660887.56659127,2
"20","PPW1302","A4",-13659769.0338405,4660893.77593443,2
"21","PPW1302","B1",-13659767.8710138,4660873.62396119,2
"22","PPW1302","B2",-13659766.2843935,4660879.83297626,2
"23","PPW1302","B3",-13659764.6977712,4660886.04199479,2
"24","PPW1302","B4",-13659763.111147,4660892.25101677,2
"25","PPW1302","C1",-13659761.9469393,4660872.10000384,2
"26","PPW1302","C2",-13659760.3607799,4660878.30869773,2
"27","PPW1302","C3",-13659758.7746186,4660884.51739509,2
"28","PPW1302","C4",-13659757.1884554,4660890.72609591,2
"29","PPW1302","D1",-13659756.0228666,4660870.57604328,2
"30","PPW1302","D2",-13659754.4371682,4660876.784416,1
"31","PPW1302","D3",-13659752.8514678,4660882.99279218,2
"32","PPW1302","D4",-13659751.2657655,4660889.20117183,2
"33","PPW1303","A1",-13658886.4376282,4660216.41513128,2
"34","PPW1303","A2",-13658884.922477,4660222.34059905,2
"35","PPW1303","A3",-13658883.407324,4660228.26606996,2
"36","PPW1303","A4",-13658881.8921693,4660234.19154404,2
"37","PPW1303","B1",-13658880.3358975,4660214.84494624,2
"38","PPW1303","B2",-13658878.8212233,4660220.77009298,2
"39","PPW1303","B3",-13658877.3065473,4660226.69524286,2
"40","PPW1303","B4",-13658875.7918695,4660232.62039592,2
"41","PPW1303","C1",-13658874.2341687,4660213.27475779,2
"42","PPW1303","C2",-13658872.7199714,4660219.19958349,2
"43","PPW1303","C3",-13658871.2057724,4660225.12441236,2
"44","PPW1303","C4",-13658869.6915716,4660231.04924438,2
"45","PPW1303","D1",-13658868.1324418,4660211.70456593,2
"46","PPW1303","D2",-13658866.6187215,4660217.62907062,2
"47","PPW1303","D3",-13658865.1049994,4660223.55357845,2
"48","PPW1303","D4",-13658863.5912756,4660229.47808944,2
"49","PPW1304","A1",-13659140.1619666,4660413.52610958,2
"50","PPW1304","A2",-13659138.6731041,4660419.34920186,2
"51","PPW1304","A3",-13659137.1842399,4660425.1722972,2
"52","PPW1304","A4",-13659135.695374,4660430.99539559,2
"53","PPW1304","B1",-13659134.16752,4660411.98370253,2
