"","Plot","Quad","x","y","Tubbs.SBS"
"54","PPW1304","B2",-13659132.6791264,4660417.80655401,2
"55","PPW1304","B3",-13659131.190731,4660423.62940853,2
"56","PPW1304","B4",-13659129.7023339,4660429.4522661,2
"57","PPW1304","C1",-13659128.1730753,4660410.4412922,2
"58","PPW1304","C2",-13659126.6851504,4660416.26390287,2
"59","PPW1304","C3",-13659125.1972239,4660422.08651657,2
"60","PPW1304","C4",-13659123.7092957,4660427.90913334,2
"61","PPW1304","D1",-13659122.1786323,4660408.89887858,2
"62","PPW1304","D2",-13659120.6911763,4660414.72124843,2
"63","PPW1304","D3",-13659119.2037186,4660420.54362133,2
"64","PPW1304","D4",-13659117.7162592,4660426.36599729,2
"65","PPW1305","A1",-13658992.941535,4660941.65299386,2
"66","PPW1305","A2",-13658991.5036906,4660947.27634673,2
"67","PPW1305","A3",-13658990.0658446,4660952.89970245,2
"68","PPW1305","A4",-13658988.627997,4660958.523061,2
"69","PPW1305","B1",-13658987.2372822,4660940.18515463,2
"70","PPW1305","B2",-13658985.7998829,4660945.80826675,2
"71","PPW1305","B3",-13658984.362482,4660951.43138171,2
"72","PPW1305","B4",-13658982.9250796,4660957.05449952,2
"73","PPW1305","C1",-13658981.5330309,4660938.71731243,2
"74","PPW1305","C2",-13658980.0960768,4660944.34018379,2
"75","PPW1305","C3",-13658978.6591211,4660949.96305801,2
"76","PPW1305","C4",-13658977.2221638,4660955.58593505,2
"77","PPW1305","D1",-13658975.8287814,4660937.24946725,2
"78","PPW1305","D2",-13658974.3922724,4660942.87209786,2
"79","PPW1305","D3",-13658972.9557618,4660948.49473131,2
"80","PPW1305","D4",-13658971.5192497,4660954.11736761,1
"81","PPW1306","A1",-13659033.4606968,4662553.79650616,2
"82","PPW1306","A2",-13659031.9086467,4662559.86663389,2
"83","PPW1306","A3",-13659030.3565947,4662565.93676493,2
"84","PPW1306","A4",-13659028.8045409,4662572.00689928,2
"85","PPW1306","B1",-13659027.3371267,4662552.22084708,3
"86","PPW1306","B2",-13659025.7855615,4662558.29065367,2
"87","PPW1306","B3",-13659024.2339945,4662564.36046358,2
"88","PPW1306","B4",-13659022.6824256,4662570.4302768,2
"89","PPW1306","C1",-13659021.2135584,4662550.64518456,3
"90","PPW1306","C2",-13659019.6624782,4662556.71467002,2
"91","PPW1306","C3",-13659018.1113961,4662562.7841588,2
"92","PPW1306","C4",-13659016.5603122,4662568.85365088,2
"93","PPW1306","D1",-13659015.0899921,4662549.06951862,3
"94","PPW1306","D2",-13659013.5393968,4662555.13868294,2
"95","PPW1306","D3",-13659011.9887997,4662561.20785059,2
"96","PPW1306","D4",-13659010.4382007,4662567.27702154,2
"97","PPW1307","A1",-13659205.90935,4662268.20285654,2
"98","PPW1307","A2",-13659204.3687467,4662274.22892487,2
"99","PPW1307","A3",-13659202.8281417,4662280.25499647,2
"100","PPW1307","A4",-13659201.2875348,4662286.28107133,2
"101","PPW1307","B1",-13659200.2867914,4662266.75634819,2
"102","PPW1307","B2",-13659198.7466255,4662272.7820954,2
"103","PPW1307","B3",-13659197.2064577,4662278.80784588,2
"104","PPW1307","B4",-13659195.6662882,4662284.83359962,2
"105","PPW1307","C1",-13659194.6642344,4662265.30983695,2
"106","PPW1307","C2",-13659193.1245058,4662271.33526304,2
"107","PPW1307","C3",-13659191.5847754,4662277.36069239,2
"108","PPW1307","C4",-13659190.0450431,4662283.38612501,2
"109","PPW1307","D1",-13659189.041679,4662263.86332281,2
"110","PPW1307","D2",-13659187.5023877,4662269.88842778,2
"111","PPW1307","D3",-13659185.9630946,4662275.91353601,2
"112","PPW1307","D4",-13659184.4237996,4662281.93864751,2
"113","PPW1308","A1",-13663211.1549734,4665459.80142161,NA
"114","PPW1308","A2",-13663209.6058766,4665465.87037226,NA
"115","PPW1308","A3",-13663208.0567779,4665471.93932621,NA
"116","PPW1308","A4",-13663206.5076773,4665478.00828349,NA
"117","PPW1308","B1",-13663204.9980979,4665458.21971003,NA
"118","PPW1308","B2",-13663203.449478,4665464.28833922,NA
"119","PPW1308","B3",-13663201.9008562,4665470.35697173,NA
"120","PPW1308","B4",-13663200.3522326,4665476.42560756,NA
"121","PPW1308","C1",-13663198.8412243,4665456.63799498,NA
"122","PPW1308","C2",-13663197.2930813,4665462.70630272,NA
"123","PPW1308","C3",-13663195.7449365,4665468.77461378,NA
"124","PPW1308","C4",-13663194.1967899,4665474.84292815,NA
"125","PPW1308","D1",-13663192.6843526,4665455.05627645,NA
"126","PPW1308","D2",-13663191.1366866,4665461.12426274,NA
"127","PPW1308","D3",-13663189.5890187,4665467.19225235,NA
"128","PPW1308","D4",-13663188.041349,4665473.26024528,NA
"129","PPW1309","A1",-13663101.7651863,4665715.03662667,NA
"130","PPW1309","A2",-13663100.18169,4665721.24009026,NA
"131","PPW1309","A3",-13663098.5981917,4665727.4435573,NA
"132","PPW1309","A4",-13663097.0146915,4665733.64702781,NA
"133","PPW1309","B1",-13663095.6616104,4665713.46876351,NA
"134","PPW1309","B2",-13663094.078591,4665719.67190561,NA
"135","PPW1309","B3",-13663092.4955696,4665725.87505118,NA
"136","PPW1309","B4",-13663090.9125463,4665732.07820021,NA
"137","PPW1309","C1",-13663089.5580364,4665711.90089692,NA
"138","PPW1309","C2",-13663087.9754939,4665718.10371755,NA
"139","PPW1309","C3",-13663086.3929494,4665724.30654164,NA
"140","PPW1309","C4",-13663084.8104031,4665730.50936919,NA
"141","PPW1309","D1",-13663083.4544642,4665710.33302693,NA
"142","PPW1309","D2",-13663081.8723986,4665716.53552608,NA
"143","PPW1309","D3",-13663080.2903311,4665722.73802869,NA
"144","PPW1309","D4",-13663078.7082617,4665728.94053477,NA
"145","PPW1310","A1",-13663163.6958507,4665978.10474388,2
"146","PPW1310","A2",-13663162.256064,4665983.74489989,2
"147","PPW1310","A3",-13663160.8162757,4665989.38505876,2
"148","PPW1310","A4",-13663159.3764857,4665995.02522049,2
"149","PPW1310","B1",-13663157.5075297,4665976.51484999,2
"150","PPW1310","B2",-13663156.0682199,4665982.15476491,2
"151","PPW1310","B3",-13663154.6289085,4665987.79468266,2
"152","PPW1310","B4",-13663153.1895956,4665993.43460331,2
"153","PPW1310","C1",-13663151.3192106,4665974.92495258,2
"154","PPW1310","C2",-13663149.8803778,4665980.5646264,2
"155","PPW1310","C3",-13663148.4415434,4665986.20430307,2
"156","PPW1310","C4",-13663147.0027074,4665991.8439826,2
"157","PPW1310","D1",-13663145.1308934,4665973.33505168,2
"158","PPW1310","D2",-13663143.6925376,4665978.97448437,2
"159","PPW1310","D3",-13663142.2541801,4665984.61391996,2
"160","PPW1310","D4",-13663140.8158211,4665990.25335839,2
"161","PPW1311","A1",-13663576.6772649,4665671.57201529,NA
"162","PPW1311","A2",-13663575.0927673,4665677.78134158,NA
"163","PPW1311","A3",-13663573.5082677,4665683.99067134,NA
"164","PPW1311","A4",-13663571.9237662,4665690.20000456,NA
"165","PPW1311","B1",-13663571.4752891,4665670.23618614,NA
"166","PPW1311","B2",-13663569.8912047,4665676.44527126,NA
"167","PPW1311","B3",-13663568.3071184,4665682.65435986,NA
"168","PPW1311","B4",-13663566.7230302,4665688.86345192,NA
"169","PPW1311","C1",-13663566.2733146,4665668.90035451,NA
"170","PPW1311","C2",-13663564.6896435,4665675.10919847,NA
"171","PPW1311","C3",-13663563.1059704,4665681.3180459,NA
"172","PPW1311","C4",-13663561.5222955,4665687.5268968,NA
"173","PPW1311","D1",-13663561.0713414,4665667.56452039,NA
"174","PPW1311","D2",-13663559.4880836,4665673.77312319,NA
"175","PPW1311","D3",-13663557.9048238,4665679.98172946,NA
"176","PPW1311","D4",-13663556.3215621,4665686.1903392,NA
"177","PPW1312","A1",-13663520.3840103,4665075.44234003,NA
"178","PPW1312","A2",-13663518.8927725,4665081.28505948,NA
"179","PPW1312","A3",-13663517.4015329,4665087.12778199,NA
"180","PPW1312","A4",-13663515.9102917,4665092.97050758,NA
"181","PPW1312","B1",-13663514.2301553,4665073.86156503,NA
"182","PPW1312","B2",-13663512.7393863,4665079.7040433,NA
"183","PPW1312","B3",-13663511.2486156,4665085.54652465,NA
"184","PPW1312","B4",-13663509.7578431,4665091.38900906,NA
"185","PPW1312","C1",-13663508.0763021,4665072.28078656,NA
"186","PPW1312","C2",-13663506.5860019,4665078.12302366,NA
"187","PPW1312","C3",-13663505.0957001,4665083.96526383,NA
"188","PPW1312","C4",-13663503.6053965,4665089.80750707,NA
"189","PPW1312","D1",-13663501.9224508,4665070.70000462,NA
"190","PPW1312","D2",-13663500.4326195,4665076.54200055,NA
"191","PPW1312","D3",-13663498.9427865,4665082.38399955,NA
"192","PPW1312","D4",-13663497.4529517,4665088.22600162,NA
"193","PPW1313","A1",-13663089.1931165,4664856.02444546,3
"194","PPW1313","A2",-13663087.719231,4664861.79867029,2
"195","PPW1313","A3",-13663086.245344,4664867.57289812,2
"196","PPW1313","A4",-13663084.7714552,4664873.34712894,2
"197","PPW1313","B1",-13663083.6330999,4664854.59598232,3
"198","PPW1313","B2",-13663082.1596517,4664860.3699661,2
"199","PPW1313","B3",-13663080.6862018,4664866.14395288,2
"200","PPW1313","B4",-13663079.2127503,4664871.91794266,2
"201","PPW1313","C1",-13663078.0730849,4664853.16751634,2
"202","PPW1313","C2",-13663076.6000739,4664858.94125908,2
"203","PPW1313","C3",-13663075.1270613,4664864.71500481,2
"204","PPW1313","C4",-13663073.654047,4664870.48875355,2
"205","PPW1313","D1",-13663072.5130714,4664851.73904753,2
"206","PPW1313","D2",-13663071.0404977,4664857.51254922,2
"207","PPW1313","D3",-13663069.5679223,4664863.28605391,2
"208","PPW1313","D4",-13663068.0953452,4664869.05956161,2
"209","PPW1314","A1",-13662585.799268,4664699.41627247,2
"210","PPW1314","A2",-13662584.2239512,4664705.58665774,2
"211","PPW1314","A3",-13662582.6486325,4664711.75704644,2
"212","PPW1314","A4",-13662581.0733119,4664717.92743855,2
"213","PPW1314","B1",-13662580.0537388,4664697.94012038,2
"214","PPW1314","B2",-13662578.4788832,4664704.1101843,2
"215","PPW1314","B3",-13662576.9040256,4664710.28025164,2
"216","PPW1314","B4",-13662575.3291661,4664716.45032242,2
"217","PPW1314","C1",-13662574.3082113,4664696.46396527,2
"218","PPW1314","C2",-13662572.7338168,4664702.63370783,2
"219","PPW1314","C3",-13662571.1594203,4664708.80345383,2
"220","PPW1314","C4",-13662569.585022,4664714.97320326,2
"221","PPW1314","D1",-13662568.5626854,4664694.98780713,2
"222","PPW1314","D2",-13662566.988752,4664701.15722835,2
"223","PPW1314","D3",-13662565.4148167,4664707.326653,2
"224","PPW1314","D4",-13662563.8408795,4664713.49608108,2
"225","PPW1315","A1",-13660679.5591624,4663427.90860619,2
"226","PPW1315","A2",-13660678.0236988,4663433.91766055,2
"227","PPW1315","A3",-13660676.4882334,4663439.92671816,2
"228","PPW1315","A4",-13660674.9527662,4663445.93577901,2
"229","PPW1315","B1",-13660673.3728964,4663426.31760391,2
"230","PPW1315","B2",-13660671.8379095,4663432.32641722,2
"231","PPW1315","B3",-13660670.3029208,4663438.33523379,2
"232","PPW1315","B4",-13660668.7679304,4663444.3440536,2
"233","PPW1315","C1",-13660667.1866323,4663424.72659812,2
"234","PPW1315","C2",-13660665.6521222,4663430.73517039,2
"235","PPW1315","C3",-13660664.1176102,4663436.74374592,2
"236","PPW1315","C4",-13660662.5830964,4663442.75232468,2
"237","PPW1315","D1",-13660661.0003702,4663423.13558883,2
"238","PPW1315","D2",-13660659.4663368,4663429.14392006,2
"239","PPW1315","D3",-13660657.9323015,4663435.15225454,2
"240","PPW1315","D4",-13660656.3982645,4663441.16059227,2
"241","PPW1316","A1",-13660631.7932054,4663635.36577313,2
"242","PPW1316","A2",-13660630.4351662,4663640.68013021,2
"243","PPW1316","A3",-13660629.0771256,4663645.99448985,2
"244","PPW1316","A4",-13660627.7190835,4663651.30885202,2
"245","PPW1316","B1",-13660625.7702733,4663633.81661215,2
"246","PPW1316","B2",-13660624.4126953,4663639.1307284,2
"247","PPW1316","B3",-13660623.0551159,4663644.4448472,2
"248","PPW1316","B4",-13660621.697535,4663649.75896853,2
"249","PPW1316","C1",-13660619.7473431,4663632.26744784,2
"250","PPW1316","C2",-13660618.3902263,4663637.58132326,2
"251","PPW1316","C3",-13660617.0331081,4663642.89520123,2
"252","PPW1316","C4",-13660615.6759884,4663648.20908173,2
"253","PPW1316","D1",-13660613.7244146,4663630.71828022,2
"254","PPW1316","D2",-13660612.367759,4663636.0319148,2
"255","PPW1316","D3",-13660611.011102,4663641.34555193,2
"256","PPW1316","D4",-13660609.6544436,4663646.6591916,2
"257","PPW1317","A1",-13660618.2948933,4663463.73160472,2
"258","PPW1317","A2",-13660616.7484367,4663469.78423616,2
"259","PPW1317","A3",-13660615.2019783,4663475.83687088,2
"260","PPW1317","A4",-13660613.655518,4663481.88950891,2
"261","PPW1317","B1",-13660612.5244712,4663462.24770438,2
"262","PPW1317","B2",-13660610.9784598,4663468.30001456,2
"263","PPW1317","B3",-13660609.4324466,4663474.35232805,2
"264","PPW1317","B4",-13660607.8864316,4663480.40464484,2
"265","PPW1317","C1",-13660606.7540508,4663460.763801,2
"266","PPW1317","C2",-13660605.2084847,4663466.81578994,2
"267","PPW1317","C3",-13660603.6629167,4663472.86778218,2
"268","PPW1317","C4",-13660602.1173468,4663478.91977772,2
"269","PPW1317","D1",-13660600.9836321,4663459.27989456,2
"270","PPW1317","D2",-13660599.4385112,4663465.33156226,2
"271","PPW1317","D3",-13660597.8933884,4663471.38323325,2
"272","PPW1317","D4",-13660596.3482638,4663477.43490755,2
"273","PPW1318","A1",-13660837.0948329,4663791.58435245,2
"274","PPW1318","A2",-13660835.6037475,4663797.42017636,2
"275","PPW1318","A3",-13660834.1126604,4663803.25600333,2
"276","PPW1318","A4",-13660832.6215716,4663809.09183337,2
"277","PPW1318","B1",-13660831.1562419,4663790.05737057,2
"278","PPW1318","B2",-13660829.6656254,4663795.89295352,2
"279","PPW1318","B3",-13660828.1750073,4663801.72853954,2
"280","PPW1318","B4",-13660826.6843874,4663807.56412862,2
"281","PPW1318","C1",-13660825.2176526,4663788.53038546,2
"282","PPW1318","C2",-13660823.7275052,4663794.36572746,2
"283","PPW1318","C3",-13660822.237356,4663800.20107252,2
"284","PPW1318","C4",-13660820.7472051,4663806.03642065,2
"285","PPW1318","D1",-13660819.2790652,4663787.00339713,2
"286","PPW1318","D2",-13660817.7893866,4663792.83849817,2
"287","PPW1318","D3",-13660816.2997064,4663798.67360228,2
"288","PPW1318","D4",-13660814.8100245,4663804.50870945,2
"289","PPW1319","A1",-13660963.7890476,4663705.93322006,2
"290","PPW1319","A2",-13660962.3041641,4663711.74496677,2
"291","PPW1319","A3",-13660960.8192789,4663717.55671653,2
"292","PPW1319","A4",-13660959.3343921,4663723.36846932,2
"293","PPW1319","B1",-13660957.6060498,4663704.34332007,2
"294","PPW1319","B2",-13660956.1216431,4663710.15482579,2
"295","PPW1319","B3",-13660954.6372348,4663715.96633455,2
"296","PPW1319","B4",-13660953.1528247,4663721.77784635,2
"297","PPW1319","C1",-13660951.4230539,4663702.75341658,2
"298","PPW1319","C2",-13660949.9391241,4663708.5646813,2
"299","PPW1319","C3",-13660948.4551926,4663714.37594906,2
"300","PPW1319","C4",-13660946.9712593,4663720.18721986,2
"301","PPW1319","D1",-13660945.2400599,4663701.1635096,2
"302","PPW1319","D2",-13660943.756607,4663706.97453332,2
"303","PPW1319","D3",-13660942.2731523,4663712.78556008,2
"304","PPW1319","D4",-13660940.7896959,4663718.59658989,2
"305","PPW1320","A1",-13661148.5317639,4660562.3233517,2
"306","PPW1320","A2",-13661147.0290429,4660568.20548574,2
"307","PPW1320","A3",-13661145.5263203,4660574.08762289,2
"308","PPW1320","A4",-13661144.0235958,4660579.96976315,2
"309","PPW1320","B1",-13661142.5280447,4660560.77982966,2
"310","PPW1320","B2",-13661141.0257846,4660566.66172275,2
"311","PPW1320","B3",-13661139.5235226,4660572.54361894,2
"312","PPW1320","B4",-13661138.021259,4660578.42551825,2
"313","PPW1320","C1",-13661136.5243274,4660559.23630432,2
"314","PPW1320","C2",-13661135.022528,4660565.11795645,2
"315","PPW1320","C3",-13661133.5207268,4660570.9996117,2
"316","PPW1320","C4",-13661132.018924,4660576.88127005,2
"317","PPW1320","D1",-13661130.5206119,4660557.69277568,2
"318","PPW1320","D2",-13661129.0192733,4660563.57418686,2
"319","PPW1320","D3",-13661127.5179329,4660569.45560115,2
"320","PPW1320","D4",-13661126.0165908,4660575.33701856,2
"321","PPW1321","A1",-13660679.9573221,4660895.89738635,2
"322","PPW1321","A2",-13660678.42375,4660901.8998051,2
"323","PPW1321","A3",-13660676.8901761,4660907.90222709,2
"324","PPW1321","A4",-13660675.3566004,4660913.90465233,2
"325","PPW1321","B1",-13660674.3124859,4660894.44571991,2
"326","PPW1321","B2",-13660672.779367,4660900.44781758,2
"327","PPW1321","B3",-13660671.2462463,4660906.44991848,2
"328","PPW1321","B4",-13660669.7131238,4660912.45202262,2
"329","PPW1321","C1",-13660668.6676514,4660892.99405057,2
"330","PPW1321","C2",-13660667.1349857,4660898.99582714,2
"331","PPW1321","C3",-13660665.6023182,4660904.99760695,2
"332","PPW1321","C4",-13660664.0696488,4660910.99939,2
"333","PPW1321","D1",-13660663.0228185,4660891.54237831,2
"334","PPW1321","D2",-13660661.490606,4660897.54383379,2
"335","PPW1321","D3",-13660659.9583916,4660903.54529251,2
"336","PPW1321","D4",-13660658.4261754,4660909.54675446,2
"337","PPW1322","A1",-13660235.1139441,4660844.4894991,2
"338","PPW1322","A2",-13660233.5327832,4660850.67649205,2
"339","PPW1322","A3",-13660231.9516203,4660856.86348844,2
"340","PPW1322","A4",-13660230.3704555,4660863.05048827,2
"341","PPW1322","B1",-13660228.9573937,4660842.9060987,2
"342","PPW1322","B2",-13660227.3767093,4660849.09285064,2
"343","PPW1322","B3",-13660225.796023,4660855.27960602,2
"344","PPW1322","B4",-13660224.2153347,4660861.46636484,2
"345","PPW1322","C1",-13660222.8008453,4660841.32269482,2
"346","PPW1322","C2",-13660221.2206374,4660847.50920575,2
"347","PPW1322","C3",-13660219.6404275,4660853.69572012,2
"348","PPW1322","C4",-13660218.0602158,4660859.88223793,1
"349","PPW1322","D1",-13660216.6442987,4660839.73928746,2
"350","PPW1322","D2",-13660215.0645673,4660845.9255574,2
"351","PPW1322","D3",-13660213.484834,4660852.11183076,1
"352","PPW1322","D4",-13660211.9050988,4660858.29810757,1
"353","PPW1323","A1",-13662529.8770856,4664528.50698768,1
"354","PPW1323","A2",-13662528.2898747,4664534.72347946,2
"355","PPW1323","A3",-13662526.7026618,4664540.93997473,2
"356","PPW1323","A4",-13662525.1154469,4664547.15647346,2
"357","PPW1323","B1",-13662523.8087945,4664526.94777071,2
"358","PPW1323","B2",-13662522.2220602,4664533.16402131,2
"359","PPW1323","B3",-13662520.6353239,4664539.38027539,2
"360","PPW1323","B4",-13662519.0485858,4664545.59653295,2
"361","PPW1323","C1",-13662517.7405051,4664525.38855036,2
"362","PPW1323","C2",-13662516.1542475,4664531.60455979,2
"363","PPW1323","C3",-13662514.567988,4664537.82057269,2
"364","PPW1323","C4",-13662512.9817265,4664544.03658907,2
"365","PPW1323","D1",-13662511.6722177,4664523.82932664,2
"366","PPW1323","D2",-13662510.0864367,4664530.04509489,2
"367","PPW1323","D3",-13662508.5006538,4664536.26086661,2
"368","PPW1323","D4",-13662506.914869,4664542.47664181,2
"369","PPW1324","A1",-13661867.9734066,4663991.21155196,2
"370","PPW1324","A2",-13661866.4170449,4663997.30572814,2
"371","PPW1324","A3",-13661864.8606814,4664003.39990766,2
"372","PPW1324","A4",-13661863.304316,4664009.49409052,2
"373","PPW1324","B1",-13661861.8573108,4663989.63964502,2
"374","PPW1324","B2",-13661860.3014181,4663995.73349984,2
"375","PPW1324","B3",-13661858.7455235,4664001.827358,2
"376","PPW1324","B4",-13661857.1896271,4664007.92121949,2
"377","PPW1324","C1",-13661855.7412169,4663988.06773466,2
"378","PPW1324","C2",-13661854.1857931,4663994.16126811,2
"379","PPW1324","C3",-13661852.6303675,4664000.25480491,2
"380","PPW1324","C4",-13661851.07494,4664006.34834505,2
"381","PPW1324","D1",-13661849.6251248,4663986.49582087,2
"382","PPW1324","D2",-13661848.07017,4663992.58903296,2
"383","PPW1324","D3",-13661846.5152134,4663998.68224839,2
"384","PPW1324","D4",-13661844.9602548,4664004.77546717,2
"385","PPW1325","A1",-13658467.6050537,4662449.29429328,1
"386","PPW1325","A2",-13658466.038794,4662455.41877022,1
"387","PPW1325","A3",-13658464.4725325,4662461.54325053,1
"388","PPW1325","A4",-13658462.9062691,4662467.66773421,1
"389","PPW1325","B1",-13658461.5359051,4662447.7322875,1
"390","PPW1325","B2",-13658459.9701224,4662453.85644331,1
"391","PPW1325","B3",-13658458.4043379,4662459.98060249,1
"392","PPW1325","B4",-13658456.8385515,4662466.10476504,1
"393","PPW1325","C1",-13658455.4667584,4662446.17027834,2
"394","PPW1325","C2",-13658453.9014527,4662452.29411302,2
"395","PPW1325","C3",-13658452.3361452,4662458.41795108,1
"396","PPW1325","C4",-13658450.7708357,4662464.5417925,1
"397","PPW1325","D1",-13658449.3976135,4662444.60826582,2
"398","PPW1325","D2",-13658447.8327848,4662450.73177937,2
"399","PPW1325","D3",-13658446.2679543,4662456.8552963,1
"400","PPW1325","D4",-13658444.7031218,4662462.97881659,2
"401","PPW1326","A1",-13660126.980548,4663197.74343636,2
"402","PPW1326","A2",-13660125.4533564,4663203.71920934,2
"403","PPW1326","A3",-13660123.926163,4663209.69498552,2
"404","PPW1326","A4",-13660122.3989678,4663215.67076493,2
"405","PPW1326","B1",-13660121.1582096,4663196.2459763,2
"406","PPW1326","B2",-13660119.6314712,4663202.22142809,2
"407","PPW1326","B3",-13660118.104731,4663208.1968831,2
"408","PPW1326","B4",-13660116.5779891,4663214.17234131,2
"409","PPW1326","C1",-13660115.3358729,4663194.74851314,2
"410","PPW1326","C2",-13660113.8095877,4663200.72364375,2
"411","PPW1326","C3",-13660112.2833008,4663206.69877756,2
"412","PPW1326","C4",-13660110.7570121,4663212.6739146,2
"413","PPW1326","D1",-13660109.513538,4663193.25104687,2
"414","PPW1326","D2",-13660107.987706,4663199.2258563,2
"415","PPW1326","D3",-13660106.4618723,4663205.20066893,2
"416","PPW1326","D4",-13660104.9360368,4663211.17548478,2
"417","PPW1327","A1",-13663015.8100543,4659991.75543941,NA
"418","PPW1327","A2",-13663014.2884034,4659997.71634278,NA
"419","PPW1327","A3",-13663012.7667506,4660003.67724935,NA
"420","PPW1327","A4",-13663011.2450961,4660009.6381591,NA
"421","PPW1327","B1",-13663009.6548911,4659990.17413454,NA
"422","PPW1327","B2",-13663008.1337248,4659996.13471669,NA
"423","PPW1327","B3",-13663006.6125569,4660002.09530204,NA
"424","PPW1327","B4",-13663005.0913871,4660008.05589058,NA
"425","PPW1327","C1",-13663003.4997297,4659988.59282619,NA
"426","PPW1327","C2",-13663001.9790482,4659994.55308713,NA
"427","PPW1327","C3",-13663000.458365,4660000.51335127,NA
"428","PPW1327","C4",-13662998.93768,4660006.47361859,NA
"429","PPW1327","D1",-13662997.3445703,4659987.01151438,NA
"430","PPW1327","D2",-13662995.8243735,4659992.97145411,NA
"431","PPW1327","D3",-13662994.3041751,4659998.93139702,NA
"432","PPW1327","D4",-13662992.7839748,4660004.89134314,NA
"433","PPW1328","A1",-13661085.7912202,4660988.20912404,2
"434","PPW1328","A2",-13661084.2476352,4660994.25112623,2
"435","PPW1328","A3",-13661082.7040484,4661000.29313171,2
"436","PPW1328","A4",-13661081.1604597,4661006.33514047,2
"437","PPW1328","B1",-13661079.6134446,4660986.62069667,2
"438","PPW1328","B2",-13661078.0703362,4660992.66245785,2
"439","PPW1328","B3",-13661076.5272259,4660998.70422231,2
"440","PPW1328","B4",-13661074.9841138,4661004.74599005,2
"441","PPW1328","C1",-13661073.4356709,4660985.0322658,2
"442","PPW1328","C2",-13661071.893039,4660991.07378597,2
"443","PPW1328","C3",-13661070.3504054,4660997.11530942,2
"444","PPW1328","C4",-13661068.8077698,4661003.15683615,2
"445","PPW1328","D1",-13661067.2578991,4660983.44383144,2
"446","PPW1328","D2",-13661065.7157438,4660989.4851106,2
"447","PPW1328","D3",-13661064.1735867,4660995.52639304,2
"448","PPW1328","D4",-13661062.6314278,4661001.56767876,2
"449","PPW1329","A1",-13661504.3655397,4663734.73852721,2
